data_dir,C,SB,DB_V,DB_H,N
2025-06-19--17h-00m-31s,3.0,52.0,1.0,144.0,200.0
2025-06-19--17h-00m-31s,5.0,42.0,5.0,148.0,200.0
2025-06-19--17h-00m-31s,4.0,59.0,2.0,135.0,200.0
2025-06-19--17h-00m-31s,7.0,43.0,2.0,148.0,200.0
2025-06-19--17h-00m-31s,5.0,46.0,5.0,144.0,200.0
2025-06-19--17h-00m-31s,3.0,50.0,5.0,142.0,200.0
2025-06-19--17h-00m-31s,3.0,49.0,4.0,144.0,200.0
2025-06-19--17h-00m-31s,3.0,52.0,5.0,140.0,200.0
2025-06-19--17h-00m-31s,4.0,60.0,5.0,131.0,200.0
2025-06-19--17h-00m-31s,3.0,40.0,5.0,152.0,200.0
2025-06-19--17h-00m-31s,2.0,39.0,4.0,155.0,200.0
2025-06-19--17h-00m-31s,5.0,60.0,2.0,133.0,200.0
2025-06-19--17h-00m-31s,7.0,53.0,3.0,137.0,200.0
2025-06-19--17h-00m-31s,3.0,47.0,2.0,148.0,200.0
2025-06-19--17h-00m-31s,6.0,44.0,6.0,144.0,200.0
2025-06-19--17h-00m-31s,3.0,48.0,5.0,144.0,200.0
2025-06-19--17h-00m-31s,3.0,38.0,6.0,153.0,200.0
2025-06-19--17h-00m-31s,3.0,45.0,2.0,150.0,200.0
2025-06-19--17h-00m-31s,1.0,50.0,4.0,145.0,200.0
2025-06-19--17h-00m-31s,5.0,42.0,4.0,149.0,200.0
2025-06-19--17h-00m-31s,3.0,54.0,4.0,139.0,200.0
2025-06-19--17h-00m-31s,3.0,42.0,1.0,154.0,200.0
2025-06-19--17h-00m-31s,3.0,41.0,4.0,152.0,200.0
2025-06-19--17h-00m-31s,4.0,36.0,4.0,156.0,200.0
2025-06-19--17h-00m-31s,2.0,48.0,4.0,146.0,200.0
2025-06-19--17h-00m-31s,1.0,40.0,6.0,153.0,200.0
2025-06-19--17h-00m-31s,3.0,53.0,0.0,144.0,200.0
2025-06-19--17h-00m-31s,1.0,50.0,3.0,146.0,200.0
2025-06-19--17h-00m-31s,1.0,48.0,1.0,150.0,200.0
2025-06-19--17h-00m-31s,4.0,50.0,4.0,142.0,200.0
2025-06-19--17h-00m-31s,1.0,47.0,3.0,149.0,200.0
2025-06-19--17h-00m-31s,6.0,56.0,3.0,135.0,200.0
2025-06-19--17h-00m-31s,2.0,45.0,6.0,147.0,200.0
2025-06-19--17h-00m-31s,5.0,46.0,2.0,147.0,200.0
2025-06-19--17h-00m-31s,4.0,51.0,3.0,142.0,200.0
2025-06-19--17h-00m-31s,2.0,58.0,6.0,134.0,200.0
2025-06-19--17h-00m-31s,3.0,43.0,5.0,149.0,200.0
2025-06-19--17h-00m-31s,2.0,46.0,1.0,151.0,200.0
2025-06-19--17h-00m-31s,4.0,49.0,4.0,143.0,200.0
2025-06-19--17h-00m-31s,6.0,46.0,4.0,144.0,200.0
2025-06-19--17h-00m-31s,5.0,38.0,6.0,151.0,200.0
2025-06-19--17h-00m-31s,6.0,34.0,3.0,157.0,200.0
2025-06-19--17h-00m-31s,3.0,48.0,4.0,145.0,200.0
2025-06-19--17h-00m-31s,2.0,42.0,9.0,147.0,200.0
2025-06-19--17h-00m-31s,3.0,53.0,5.0,139.0,200.0
2025-06-19--17h-00m-31s,4.0,54.0,4.0,138.0,200.0
2025-06-19--17h-00m-31s,1.0,50.0,4.0,145.0,200.0
2025-06-19--17h-00m-31s,4.0,45.0,5.0,146.0,200.0
2025-06-19--17h-00m-31s,2.0,57.0,4.0,137.0,200.0
2025-06-19--17h-00m-31s,7.0,54.0,3.0,136.0,200.0
2025-06-19--17h-00m-31s,2.0,50.0,6.0,142.0,200.0
2025-06-19--17h-00m-31s,2.0,48.0,5.0,145.0,200.0
2025-06-19--17h-00m-31s,3.0,36.0,3.0,158.0,200.0
2025-06-19--17h-00m-31s,3.0,51.0,2.0,144.0,200.0
2025-06-19--17h-00m-31s,3.0,54.0,4.0,139.0,200.0
2025-06-19--17h-00m-31s,5.0,50.0,7.0,138.0,200.0
2025-06-19--17h-00m-31s,2.0,64.0,3.0,131.0,200.0
2025-06-19--17h-00m-31s,4.0,52.0,3.0,141.0,200.0
2025-06-19--17h-00m-31s,7.0,59.0,1.0,133.0,200.0
2025-06-19--17h-00m-31s,0.0,53.0,6.0,141.0,200.0
2025-06-19--17h-00m-31s,1.0,45.0,5.0,149.0,200.0
2025-06-19--17h-00m-31s,2.0,47.0,4.0,147.0,200.0
2025-06-19--17h-00m-31s,4.0,44.0,5.0,147.0,200.0
2025-06-19--17h-00m-31s,2.0,48.0,8.0,142.0,200.0
2025-06-19--17h-00m-31s,1.0,45.0,8.0,146.0,200.0
2025-06-19--17h-00m-31s,1.0,33.0,3.0,163.0,200.0
2025-06-19--17h-00m-31s,2.0,55.0,3.0,140.0,200.0
2025-06-19--17h-00m-31s,3.0,45.0,6.0,146.0,200.0
2025-06-19--17h-00m-31s,3.0,47.0,6.0,144.0,200.0
2025-06-19--17h-00m-31s,3.0,46.0,5.0,146.0,200.0
2025-06-19--17h-00m-31s,2.0,47.0,4.0,147.0,200.0
2025-06-19--17h-00m-31s,5.0,50.0,7.0,138.0,200.0
2025-06-19--17h-00m-31s,3.0,56.0,2.0,139.0,200.0
2025-06-19--17h-00m-31s,2.0,46.0,4.0,148.0,200.0
2025-06-19--17h-00m-31s,4.0,42.0,3.0,151.0,200.0
2025-06-19--17h-00m-31s,4.0,53.0,1.0,142.0,200.0
2025-06-19--17h-00m-31s,3.0,52.0,4.0,141.0,200.0
2025-06-19--17h-00m-31s,4.0,53.0,5.0,138.0,200.0
2025-06-19--17h-00m-31s,6.0,55.0,0.0,139.0,200.0
2025-06-19--17h-00m-31s,9.0,49.0,1.0,141.0,200.0
2025-06-19--17h-00m-31s,3.0,59.0,4.0,134.0,200.0
2025-06-19--17h-00m-31s,4.0,43.0,4.0,149.0,200.0
2025-06-19--17h-00m-31s,4.0,49.0,3.0,144.0,200.0
2025-06-19--17h-00m-31s,4.0,43.0,8.0,145.0,200.0
2025-06-19--17h-00m-31s,8.0,44.0,2.0,146.0,200.0
2025-06-19--17h-00m-31s,5.0,51.0,7.0,137.0,200.0
2025-06-19--17h-00m-31s,1.0,52.0,2.0,145.0,200.0
2025-06-19--17h-00m-31s,4.0,54.0,7.0,135.0,200.0
2025-06-19--17h-00m-31s,3.0,39.0,4.0,154.0,200.0
2025-06-19--17h-00m-31s,4.0,53.0,1.0,142.0,200.0
2025-06-19--17h-00m-31s,5.0,39.0,6.0,150.0,200.0
2025-06-19--17h-00m-31s,5.0,55.0,1.0,139.0,200.0
2025-06-19--17h-00m-31s,3.0,63.0,5.0,129.0,200.0
2025-06-19--17h-00m-31s,2.0,44.0,4.0,150.0,200.0
2025-06-19--17h-00m-31s,7.0,36.0,0.0,157.0,200.0
2025-06-19--17h-00m-31s,1.0,49.0,8.0,142.0,200.0
2025-06-19--17h-00m-31s,3.0,50.0,2.0,145.0,200.0
2025-06-19--17h-00m-31s,5.0,49.0,2.0,144.0,200.0
2025-06-19--17h-00m-31s,3.0,41.0,5.0,151.0,200.0
2025-06-19--17h-00m-31s,5.0,44.0,6.0,145.0,200.0
2025-06-19--17h-00m-31s,3.0,46.0,4.0,147.0,200.0
2025-06-19--17h-00m-31s,2.0,42.0,7.0,149.0,200.0
2025-06-19--17h-00m-31s,5.0,47.0,4.0,144.0,200.0
2025-06-19--17h-00m-31s,3.0,47.0,7.0,143.0,200.0
2025-06-19--17h-00m-31s,2.0,49.0,3.0,146.0,200.0
2025-06-19--17h-00m-31s,2.0,47.0,5.0,146.0,200.0
2025-06-19--17h-00m-31s,4.0,49.0,3.0,144.0,200.0
2025-06-19--17h-00m-31s,2.0,38.0,5.0,155.0,200.0
2025-06-19--17h-00m-31s,4.0,53.0,2.0,141.0,200.0
2025-06-19--17h-00m-31s,5.0,39.0,4.0,152.0,200.0
2025-06-19--17h-00m-31s,5.0,44.0,5.0,146.0,200.0
2025-06-19--17h-00m-31s,3.0,43.0,4.0,150.0,200.0
2025-06-19--17h-00m-31s,3.0,47.0,3.0,147.0,200.0
2025-06-19--17h-00m-31s,2.0,38.0,8.0,152.0,200.0
2025-06-19--17h-00m-31s,5.0,46.0,4.0,145.0,200.0
2025-06-19--17h-00m-31s,3.0,51.0,5.0,141.0,200.0
2025-06-19--17h-00m-31s,5.0,55.0,5.0,135.0,200.0
2025-06-19--17h-00m-31s,6.0,43.0,7.0,144.0,200.0
2025-06-19--17h-00m-31s,6.0,55.0,2.0,137.0,200.0
2025-06-19--17h-00m-31s,7.0,49.0,5.0,139.0,200.0
2025-06-19--17h-00m-31s,2.0,56.0,2.0,140.0,200.0
2025-06-19--17h-00m-31s,1.0,52.0,3.0,144.0,200.0
2025-06-19--17h-00m-31s,4.0,48.0,5.0,143.0,200.0
2025-06-19--17h-00m-31s,2.0,52.0,0.0,146.0,200.0
2025-06-19--17h-00m-31s,3.0,39.0,4.0,154.0,200.0
2025-06-19--17h-00m-31s,6.0,52.0,4.0,138.0,200.0
2025-06-19--17h-00m-31s,5.0,47.0,5.0,143.0,200.0
2025-06-19--17h-00m-31s,3.0,53.0,2.0,142.0,200.0
2025-06-19--17h-00m-31s,4.0,45.0,4.0,147.0,200.0
2025-06-19--17h-00m-31s,4.0,53.0,7.0,136.0,200.0
2025-06-19--17h-00m-31s,4.0,50.0,2.0,144.0,200.0
2025-06-19--17h-00m-31s,2.0,41.0,4.0,153.0,200.0
2025-06-19--17h-00m-31s,1.0,47.0,3.0,149.0,200.0
2025-06-19--17h-00m-31s,1.0,60.0,2.0,137.0,200.0
2025-06-19--17h-00m-31s,1.0,45.0,5.0,149.0,200.0
2025-06-19--17h-00m-31s,5.0,51.0,0.0,144.0,200.0
2025-06-19--17h-00m-31s,6.0,55.0,1.0,138.0,200.0
2025-06-19--17h-00m-31s,6.0,47.0,2.0,145.0,200.0
2025-06-19--17h-00m-31s,4.0,58.0,1.0,137.0,200.0
2025-06-19--17h-00m-31s,9.0,47.0,8.0,136.0,200.0
2025-06-19--17h-00m-31s,5.0,46.0,6.0,143.0,200.0
2025-06-19--17h-00m-31s,3.0,50.0,5.0,142.0,200.0
2025-06-19--17h-00m-31s,4.0,54.0,7.0,135.0,200.0
2025-06-19--17h-00m-31s,4.0,47.0,3.0,146.0,200.0
2025-06-19--17h-00m-31s,1.0,48.0,4.0,147.0,200.0
2025-06-19--17h-00m-31s,5.0,49.0,3.0,143.0,200.0
2025-06-19--17h-00m-31s,2.0,44.0,3.0,151.0,200.0
2025-06-19--17h-00m-31s,3.0,44.0,5.0,148.0,200.0
2025-06-19--17h-00m-31s,6.0,46.0,4.0,144.0,200.0
2025-06-19--17h-00m-31s,5.0,48.0,5.0,142.0,200.0
2025-06-19--17h-00m-31s,1.0,55.0,4.0,140.0,200.0
2025-06-19--17h-00m-31s,6.0,43.0,4.0,147.0,200.0
2025-06-19--17h-00m-31s,9.0,53.0,5.0,133.0,200.0
2025-06-19--17h-00m-31s,2.0,50.0,4.0,144.0,200.0
2025-06-19--17h-00m-31s,5.0,46.0,3.0,146.0,200.0
2025-06-19--17h-00m-31s,3.0,47.0,7.0,143.0,200.0
2025-06-19--17h-00m-31s,5.0,43.0,1.0,151.0,200.0
2025-06-19--17h-00m-31s,3.0,45.0,2.0,150.0,200.0
2025-06-19--17h-00m-31s,5.0,50.0,6.0,139.0,200.0
2025-06-19--17h-00m-31s,3.0,45.0,6.0,146.0,200.0
2025-06-19--17h-00m-31s,2.0,46.0,3.0,149.0,200.0
2025-06-19--17h-00m-31s,5.0,54.0,8.0,133.0,200.0
2025-06-19--17h-00m-31s,0.0,40.0,6.0,154.0,200.0
2025-06-19--17h-00m-31s,3.0,53.0,9.0,135.0,200.0
2025-06-19--17h-00m-31s,1.0,51.0,4.0,144.0,200.0
2025-06-19--17h-00m-31s,5.0,50.0,1.0,144.0,200.0
2025-06-19--17h-00m-31s,4.0,52.0,2.0,142.0,200.0
2025-06-19--17h-00m-31s,3.0,50.0,6.0,141.0,200.0
2025-06-19--17h-00m-31s,1.0,40.0,5.0,154.0,200.0
2025-06-19--17h-00m-31s,3.0,48.0,5.0,144.0,200.0
2025-06-19--17h-00m-31s,5.0,42.0,5.0,148.0,200.0
2025-06-19--17h-00m-31s,5.0,56.0,2.0,137.0,200.0
2025-06-19--17h-00m-31s,2.0,47.0,7.0,144.0,200.0
2025-06-19--17h-00m-31s,2.0,37.0,2.0,159.0,200.0
2025-06-19--17h-00m-31s,1.0,46.0,6.0,147.0,200.0
2025-06-19--17h-00m-31s,5.0,51.0,0.0,144.0,200.0
2025-06-19--17h-00m-31s,2.0,39.0,4.0,155.0,200.0
2025-06-19--17h-00m-31s,4.0,42.0,6.0,148.0,200.0
2025-06-19--17h-00m-31s,5.0,57.0,4.0,134.0,200.0
2025-06-19--17h-00m-31s,2.0,38.0,3.0,157.0,200.0
2025-06-19--17h-00m-31s,4.0,39.0,5.0,152.0,200.0
2025-06-19--17h-00m-31s,7.0,54.0,2.0,137.0,200.0
2025-06-19--17h-00m-31s,9.0,56.0,3.0,132.0,200.0
2025-06-19--17h-00m-31s,4.0,42.0,1.0,153.0,200.0
2025-06-19--17h-00m-31s,2.0,47.0,1.0,150.0,200.0
2025-06-19--17h-00m-31s,3.0,50.0,3.0,144.0,200.0
2025-06-19--17h-00m-31s,3.0,62.0,2.0,133.0,200.0
2025-06-19--17h-00m-31s,2.0,50.0,4.0,144.0,200.0
2025-06-19--17h-00m-31s,4.0,35.0,3.0,158.0,200.0
2025-06-19--17h-00m-31s,3.0,44.0,1.0,152.0,200.0
2025-06-19--17h-00m-31s,7.0,44.0,5.0,144.0,200.0
2025-06-19--17h-00m-31s,3.0,50.0,7.0,140.0,200.0
2025-06-19--17h-00m-31s,4.0,44.0,2.0,150.0,200.0
2025-06-19--17h-00m-31s,0.0,45.0,3.0,152.0,200.0
2025-06-19--17h-00m-31s,6.0,45.0,4.0,145.0,200.0
2025-06-19--17h-00m-31s,2.0,47.0,6.0,145.0,200.0
2025-06-19--17h-00m-31s,4.0,50.0,4.0,142.0,200.0
2025-06-19--17h-00m-31s,0.0,39.0,2.0,159.0,200.0
2025-06-19--17h-00m-31s,6.0,42.0,5.0,147.0,200.0
2025-06-19--17h-00m-31s,5.0,41.0,6.0,148.0,200.0
2025-06-19--17h-00m-31s,4.0,55.0,4.0,137.0,200.0
2025-06-19--17h-00m-31s,4.0,61.0,2.0,133.0,200.0
2025-06-19--17h-00m-31s,4.0,48.0,3.0,145.0,200.0
2025-06-19--17h-00m-31s,1.0,39.0,4.0,156.0,200.0
2025-06-19--17h-00m-31s,4.0,51.0,9.0,136.0,200.0
2025-06-19--17h-00m-31s,4.0,54.0,2.0,140.0,200.0
2025-06-19--17h-00m-31s,3.0,48.0,3.0,146.0,200.0
2025-06-19--17h-00m-31s,9.0,40.0,3.0,148.0,200.0
2025-06-19--17h-00m-31s,4.0,36.0,5.0,155.0,200.0
2025-06-19--17h-00m-31s,9.0,45.0,1.0,145.0,200.0
2025-06-19--17h-00m-31s,3.0,48.0,3.0,146.0,200.0
2025-06-19--17h-00m-31s,0.0,52.0,4.0,144.0,200.0
2025-06-19--17h-00m-31s,4.0,49.0,5.0,142.0,200.0
2025-06-19--17h-00m-31s,3.0,42.0,4.0,151.0,200.0
2025-06-19--17h-00m-31s,3.0,43.0,4.0,150.0,200.0
2025-06-19--17h-00m-31s,4.0,40.0,4.0,152.0,200.0
2025-06-19--17h-00m-31s,3.0,55.0,1.0,141.0,200.0
2025-06-19--17h-00m-31s,4.0,47.0,6.0,143.0,200.0
2025-06-19--17h-00m-31s,6.0,56.0,8.0,130.0,200.0
2025-06-19--17h-00m-31s,3.0,45.0,5.0,147.0,200.0
2025-06-19--17h-00m-31s,1.0,54.0,4.0,141.0,200.0
2025-06-19--17h-00m-31s,3.0,54.0,1.0,142.0,200.0
2025-06-19--17h-00m-31s,3.0,53.0,1.0,143.0,200.0
2025-06-19--17h-00m-31s,6.0,40.0,5.0,149.0,200.0
2025-06-19--17h-00m-31s,2.0,57.0,0.0,141.0,200.0
2025-06-19--17h-00m-31s,4.0,57.0,5.0,134.0,200.0
2025-06-19--17h-00m-31s,5.0,55.0,0.0,140.0,200.0
2025-06-19--17h-00m-31s,3.0,51.0,7.0,139.0,200.0
2025-06-19--17h-00m-31s,6.0,59.0,0.0,135.0,200.0
2025-06-19--17h-00m-31s,6.0,50.0,7.0,137.0,200.0
2025-06-19--17h-00m-31s,1.0,55.0,4.0,140.0,200.0
2025-06-19--17h-00m-31s,7.0,48.0,4.0,141.0,200.0
2025-06-19--17h-00m-31s,6.0,51.0,5.0,138.0,200.0
2025-06-19--17h-00m-31s,3.0,43.0,5.0,149.0,200.0
2025-06-19--17h-00m-31s,7.0,45.0,7.0,141.0,200.0
2025-06-19--17h-00m-31s,6.0,39.0,4.0,151.0,200.0
2025-06-19--17h-00m-31s,1.0,43.0,3.0,153.0,200.0
2025-06-19--17h-00m-31s,10.0,53.0,3.0,134.0,200.0
2025-06-19--17h-00m-31s,4.0,32.0,3.0,161.0,200.0
2025-06-19--17h-00m-31s,3.0,56.0,7.0,134.0,200.0
2025-06-19--17h-00m-31s,3.0,53.0,6.0,138.0,200.0
2025-06-19--17h-00m-31s,4.0,53.0,0.0,143.0,200.0
2025-06-19--17h-00m-31s,1.0,54.0,4.0,141.0,200.0
2025-06-19--17h-00m-31s,2.0,53.0,6.0,139.0,200.0
2025-06-19--17h-00m-31s,6.0,43.0,7.0,144.0,200.0
2025-06-19--17h-00m-31s,5.0,53.0,3.0,139.0,200.0
2025-06-19--17h-00m-31s,1.0,55.0,4.0,140.0,200.0
2025-06-19--17h-00m-31s,4.0,44.0,1.0,151.0,200.0
2025-06-19--17h-00m-31s,7.0,47.0,2.0,144.0,200.0
