data_dir,C',SB,VV,HH,N
2025-06-19--18h-14m-46s,11.0,10.0,1.0,58.0,80.0
2025-06-19--18h-14m-46s,5.0,14.0,5.0,56.0,80.0
2025-06-19--18h-14m-46s,12.0,9.0,4.0,55.0,80.0
2025-06-19--18h-14m-46s,10.0,15.0,0.0,55.0,80.0
2025-06-19--18h-14m-46s,8.0,13.0,3.0,56.0,80.0
2025-06-19--18h-14m-46s,9.0,11.0,1.0,59.0,80.0
2025-06-19--18h-14m-46s,11.0,11.0,3.0,55.0,80.0
2025-06-19--18h-14m-46s,8.0,9.0,1.0,62.0,80.0
2025-06-19--18h-14m-46s,8.0,12.0,3.0,57.0,80.0
2025-06-19--18h-14m-46s,6.0,20.0,0.0,54.0,80.0
2025-06-19--18h-14m-46s,6.0,5.0,0.0,69.0,80.0
2025-06-19--18h-14m-46s,9.0,12.0,4.0,55.0,80.0
2025-06-19--18h-14m-46s,10.0,8.0,1.0,61.0,80.0
2025-06-19--18h-14m-46s,10.0,10.0,3.0,57.0,80.0
2025-06-19--18h-14m-46s,11.0,8.0,1.0,60.0,80.0
2025-06-19--18h-14m-46s,10.0,13.0,1.0,56.0,80.0
2025-06-19--18h-14m-46s,11.0,9.0,1.0,59.0,80.0
2025-06-19--18h-14m-46s,6.0,12.0,1.0,61.0,80.0
2025-06-19--18h-14m-46s,9.0,7.0,0.0,64.0,80.0
2025-06-19--18h-14m-46s,6.0,12.0,2.0,60.0,80.0
2025-06-19--18h-14m-46s,5.0,16.0,3.0,56.0,80.0
2025-06-19--18h-14m-46s,7.0,12.0,1.0,60.0,80.0
2025-06-19--18h-14m-46s,8.0,8.0,3.0,61.0,80.0
2025-06-19--18h-14m-46s,6.0,7.0,3.0,64.0,80.0
2025-06-19--18h-14m-46s,8.0,11.0,1.0,60.0,80.0
2025-06-19--18h-14m-46s,10.0,6.0,4.0,60.0,80.0
2025-06-19--18h-14m-46s,7.0,17.0,3.0,53.0,80.0
2025-06-19--18h-14m-46s,11.0,12.0,1.0,56.0,80.0
2025-06-19--18h-14m-46s,10.0,9.0,2.0,59.0,80.0
2025-06-19--18h-14m-46s,8.0,12.0,4.0,56.0,80.0
2025-06-19--18h-14m-46s,8.0,14.0,0.0,58.0,80.0
2025-06-19--18h-14m-46s,11.0,8.0,1.0,60.0,80.0
2025-06-19--18h-14m-46s,8.0,5.0,1.0,66.0,80.0
2025-06-19--18h-14m-46s,6.0,9.0,5.0,60.0,80.0
2025-06-19--18h-14m-46s,9.0,10.0,3.0,58.0,80.0
2025-06-19--18h-14m-46s,6.0,13.0,4.0,57.0,80.0
2025-06-19--18h-14m-46s,9.0,10.0,3.0,58.0,80.0
2025-06-19--18h-14m-46s,12.0,10.0,2.0,56.0,80.0
2025-06-19--18h-14m-46s,6.0,13.0,2.0,59.0,80.0
2025-06-19--18h-14m-46s,10.0,11.0,2.0,57.0,80.0
2025-06-19--18h-14m-46s,5.0,11.0,2.0,62.0,80.0
2025-06-19--18h-14m-46s,10.0,11.0,1.0,58.0,80.0
2025-06-19--18h-14m-46s,5.0,13.0,2.0,60.0,80.0
2025-06-19--18h-14m-46s,10.0,11.0,0.0,59.0,80.0
2025-06-19--18h-14m-46s,8.0,11.0,1.0,60.0,80.0
2025-06-19--18h-14m-46s,8.0,8.0,1.0,63.0,80.0
2025-06-19--18h-14m-46s,9.0,9.0,1.0,61.0,80.0
2025-06-19--18h-14m-46s,9.0,13.0,0.0,58.0,80.0
2025-06-19--18h-14m-46s,8.0,14.0,3.0,55.0,80.0
2025-06-19--18h-14m-46s,8.0,11.0,2.0,59.0,80.0
2025-06-19--18h-14m-46s,9.0,14.0,2.0,55.0,80.0
2025-06-19--18h-14m-46s,5.0,12.0,0.0,63.0,80.0
2025-06-19--18h-14m-46s,16.0,9.0,0.0,55.0,80.0
2025-06-19--18h-14m-46s,4.0,7.0,2.0,67.0,80.0
2025-06-19--18h-14m-46s,8.0,5.0,1.0,66.0,80.0
2025-06-19--18h-14m-46s,9.0,11.0,2.0,58.0,80.0
2025-06-19--18h-14m-46s,8.0,15.0,2.0,55.0,80.0
2025-06-19--18h-14m-46s,5.0,10.0,1.0,64.0,80.0
2025-06-19--18h-14m-46s,8.0,8.0,1.0,63.0,80.0
2025-06-19--18h-14m-46s,10.0,10.0,2.0,58.0,80.0
2025-06-19--18h-14m-46s,5.0,17.0,2.0,56.0,80.0
2025-06-19--18h-14m-46s,11.0,11.0,1.0,57.0,80.0
2025-06-19--18h-14m-46s,8.0,15.0,2.0,55.0,80.0
2025-06-19--18h-14m-46s,11.0,11.0,1.0,57.0,80.0
2025-06-19--18h-14m-46s,9.0,11.0,0.0,60.0,80.0
2025-06-19--18h-14m-46s,4.0,12.0,0.0,64.0,80.0
2025-06-19--18h-14m-46s,18.0,9.0,2.0,51.0,80.0
2025-06-19--18h-14m-46s,7.0,9.0,3.0,61.0,80.0
2025-06-19--18h-14m-46s,12.0,11.0,1.0,56.0,80.0
2025-06-19--18h-14m-46s,5.0,14.0,2.0,59.0,80.0
2025-06-19--18h-14m-46s,10.0,10.0,2.0,58.0,80.0
2025-06-19--18h-14m-46s,6.0,15.0,1.0,58.0,80.0
2025-06-19--18h-14m-46s,10.0,8.0,1.0,61.0,80.0
2025-06-19--18h-14m-46s,9.0,13.0,1.0,57.0,80.0
2025-06-19--18h-14m-46s,7.0,8.0,2.0,63.0,80.0
2025-06-19--18h-14m-46s,8.0,17.0,0.0,55.0,80.0
2025-06-19--18h-14m-46s,11.0,9.0,1.0,59.0,80.0
2025-06-19--18h-14m-46s,7.0,15.0,0.0,58.0,80.0
2025-06-19--18h-14m-46s,8.0,14.0,4.0,54.0,80.0
2025-06-19--18h-14m-46s,3.0,14.0,2.0,61.0,80.0
2025-06-19--18h-14m-46s,10.0,11.0,1.0,58.0,80.0
2025-06-19--18h-14m-46s,5.0,7.0,4.0,64.0,80.0
2025-06-19--18h-14m-46s,7.0,15.0,1.0,57.0,80.0
2025-06-19--18h-14m-46s,8.0,10.0,1.0,61.0,80.0
2025-06-19--18h-14m-46s,6.0,13.0,0.0,61.0,80.0
2025-06-19--18h-14m-46s,17.0,9.0,0.0,54.0,80.0
2025-06-19--18h-14m-46s,11.0,10.0,4.0,55.0,80.0
2025-06-19--18h-14m-46s,12.0,6.0,1.0,61.0,80.0
2025-06-19--18h-14m-46s,10.0,9.0,2.0,59.0,80.0
2025-06-19--18h-14m-46s,12.0,9.0,0.0,59.0,80.0
2025-06-19--18h-14m-46s,12.0,12.0,2.0,54.0,80.0
2025-06-19--18h-14m-46s,7.0,18.0,4.0,51.0,80.0
2025-06-19--18h-14m-46s,11.0,14.0,1.0,54.0,80.0
2025-06-19--18h-14m-46s,5.0,14.0,2.0,59.0,80.0
2025-06-19--18h-14m-46s,11.0,9.0,0.0,60.0,80.0
2025-06-19--18h-14m-46s,8.0,8.0,3.0,61.0,80.0
2025-06-19--18h-14m-46s,10.0,13.0,1.0,56.0,80.0
2025-06-19--18h-14m-46s,7.0,11.0,2.0,60.0,80.0
2025-06-19--18h-14m-46s,5.0,11.0,3.0,61.0,80.0
2025-06-19--18h-14m-46s,6.0,5.0,1.0,68.0,80.0
2025-06-19--18h-14m-46s,12.0,10.0,0.0,58.0,80.0
2025-06-19--18h-14m-46s,7.0,9.0,1.0,63.0,80.0
2025-06-19--18h-14m-46s,4.0,8.0,2.0,66.0,80.0
2025-06-19--18h-14m-46s,5.0,12.0,2.0,61.0,80.0
2025-06-19--18h-14m-46s,8.0,13.0,0.0,59.0,80.0
2025-06-19--18h-14m-46s,7.0,9.0,0.0,64.0,80.0
2025-06-19--18h-14m-46s,12.0,8.0,3.0,57.0,80.0
2025-06-19--18h-14m-46s,15.0,12.0,1.0,52.0,80.0
2025-06-19--18h-14m-46s,13.0,14.0,0.0,53.0,80.0
2025-06-19--18h-14m-46s,8.0,7.0,4.0,61.0,80.0
2025-06-19--18h-14m-46s,11.0,15.0,2.0,52.0,80.0
2025-06-19--18h-14m-46s,10.0,7.0,0.0,63.0,80.0
2025-06-19--18h-14m-46s,9.0,10.0,1.0,60.0,80.0
2025-06-19--18h-14m-46s,11.0,7.0,1.0,61.0,80.0
2025-06-19--18h-14m-46s,9.0,19.0,3.0,49.0,80.0
2025-06-19--18h-14m-46s,12.0,9.0,1.0,58.0,80.0
2025-06-19--18h-14m-46s,8.0,7.0,2.0,63.0,80.0
2025-06-19--18h-14m-46s,10.0,13.0,0.0,57.0,80.0
2025-06-19--18h-14m-46s,11.0,10.0,1.0,58.0,80.0
2025-06-19--18h-14m-46s,10.0,9.0,1.0,60.0,80.0
2025-06-19--18h-14m-46s,7.0,11.0,3.0,59.0,80.0
2025-06-19--18h-14m-46s,9.0,17.0,5.0,49.0,80.0
2025-06-19--18h-14m-46s,8.0,12.0,2.0,58.0,80.0
2025-06-19--18h-14m-46s,12.0,8.0,2.0,58.0,80.0
2025-06-19--18h-14m-46s,9.0,12.0,0.0,59.0,80.0
2025-06-19--18h-14m-46s,8.0,11.0,1.0,60.0,80.0
2025-06-19--18h-14m-46s,8.0,14.0,2.0,56.0,80.0
2025-06-19--18h-14m-46s,9.0,16.0,0.0,55.0,80.0
2025-06-19--18h-14m-46s,9.0,9.0,0.0,62.0,80.0
2025-06-19--18h-14m-46s,13.0,12.0,1.0,54.0,80.0
2025-06-19--18h-14m-46s,7.0,9.0,2.0,62.0,80.0
2025-06-19--18h-14m-46s,8.0,16.0,1.0,55.0,80.0
2025-06-19--18h-14m-46s,8.0,3.0,1.0,68.0,80.0
2025-06-19--18h-14m-46s,12.0,9.0,3.0,56.0,80.0
2025-06-19--18h-14m-46s,5.0,12.0,1.0,62.0,80.0
2025-06-19--18h-14m-46s,12.0,13.0,0.0,55.0,80.0
2025-06-19--18h-14m-46s,11.0,9.0,2.0,58.0,80.0
2025-06-19--18h-14m-46s,12.0,12.0,1.0,55.0,80.0
2025-06-19--18h-14m-46s,12.0,7.0,3.0,58.0,80.0
2025-06-19--18h-14m-46s,3.0,13.0,1.0,63.0,80.0
2025-06-19--18h-14m-46s,9.0,17.0,2.0,52.0,80.0
2025-06-19--18h-14m-46s,12.0,11.0,2.0,55.0,80.0
2025-06-19--18h-14m-46s,9.0,11.0,1.0,59.0,80.0
2025-06-19--18h-14m-46s,8.0,6.0,2.0,64.0,80.0
2025-06-19--18h-14m-46s,4.0,10.0,2.0,64.0,80.0
2025-06-19--18h-14m-46s,9.0,9.0,2.0,60.0,80.0
2025-06-19--18h-14m-46s,9.0,10.0,2.0,59.0,80.0
2025-06-19--18h-14m-46s,9.0,8.0,2.0,61.0,80.0
2025-06-19--18h-14m-46s,7.0,15.0,3.0,55.0,80.0
2025-06-19--18h-14m-46s,10.0,6.0,3.0,61.0,80.0
2025-06-19--18h-14m-46s,6.0,16.0,1.0,57.0,80.0
2025-06-19--18h-14m-46s,6.0,8.0,2.0,64.0,80.0
2025-06-19--18h-14m-46s,7.0,16.0,1.0,56.0,80.0
2025-06-19--18h-14m-46s,4.0,11.0,0.0,65.0,80.0
2025-06-19--18h-14m-46s,12.0,11.0,2.0,55.0,80.0
2025-06-19--18h-14m-46s,5.0,19.0,1.0,55.0,80.0
2025-06-19--18h-14m-46s,8.0,13.0,1.0,58.0,80.0
2025-06-19--18h-14m-46s,5.0,13.0,1.0,61.0,80.0
2025-06-19--18h-14m-46s,9.0,13.0,2.0,56.0,80.0
2025-06-19--18h-14m-46s,11.0,12.0,2.0,55.0,80.0
