data_dir,C',SB,VV,HH,N
2025-06-18--18h-58m-49s,20.0,28.0,11.0,21.0,80.0
2025-06-18--18h-58m-49s,22.0,23.0,21.0,14.0,80.0
2025-06-18--18h-58m-49s,25.0,17.0,19.0,19.0,80.0
2025-06-18--18h-58m-49s,15.0,18.0,20.0,27.0,80.0
2025-06-18--18h-58m-49s,26.0,20.0,12.0,22.0,80.0
2025-06-18--18h-58m-49s,20.0,27.0,14.0,19.0,80.0
2025-06-18--18h-58m-49s,21.0,16.0,22.0,21.0,80.0
2025-06-18--18h-58m-49s,22.0,19.0,21.0,18.0,80.0
2025-06-18--18h-58m-49s,22.0,16.0,23.0,19.0,80.0
2025-06-18--18h-58m-49s,17.0,18.0,20.0,25.0,80.0
2025-06-18--18h-58m-49s,23.0,15.0,23.0,19.0,80.0
2025-06-18--18h-58m-49s,12.0,22.0,17.0,29.0,80.0
2025-06-18--18h-58m-49s,19.0,25.0,20.0,16.0,80.0
2025-06-18--18h-58m-49s,15.0,19.0,22.0,24.0,80.0
2025-06-18--18h-58m-49s,16.0,20.0,22.0,22.0,80.0
2025-06-18--18h-58m-49s,23.0,17.0,17.0,23.0,80.0
2025-06-18--18h-58m-49s,15.0,24.0,15.0,26.0,80.0
2025-06-18--18h-58m-49s,19.0,26.0,23.0,12.0,80.0
2025-06-18--18h-58m-49s,20.0,17.0,21.0,22.0,80.0
2025-06-18--18h-58m-49s,15.0,20.0,20.0,25.0,80.0
2025-06-18--18h-58m-49s,21.0,16.0,22.0,21.0,80.0
2025-06-18--18h-58m-49s,19.0,26.0,16.0,19.0,80.0
2025-06-18--18h-58m-49s,15.0,21.0,25.0,19.0,80.0
2025-06-18--18h-58m-49s,18.0,21.0,20.0,21.0,80.0
2025-06-18--18h-58m-49s,15.0,22.0,24.0,19.0,80.0
2025-06-18--18h-58m-49s,19.0,26.0,15.0,20.0,80.0
2025-06-18--18h-58m-49s,25.0,22.0,15.0,18.0,80.0
2025-06-18--18h-58m-49s,26.0,20.0,19.0,15.0,80.0
2025-06-18--18h-58m-49s,18.0,26.0,20.0,16.0,80.0
2025-06-18--18h-58m-49s,22.0,17.0,22.0,19.0,80.0
2025-06-18--18h-58m-49s,26.0,21.0,21.0,12.0,80.0
2025-06-18--18h-58m-49s,24.0,17.0,17.0,22.0,80.0
2025-06-18--18h-58m-49s,24.0,24.0,18.0,14.0,80.0
2025-06-18--18h-58m-49s,20.0,17.0,23.0,20.0,80.0
2025-06-18--18h-58m-49s,18.0,23.0,23.0,16.0,80.0
2025-06-18--18h-58m-49s,23.0,15.0,25.0,17.0,80.0
2025-06-18--18h-58m-49s,10.0,29.0,23.0,18.0,80.0
2025-06-18--18h-58m-49s,25.0,17.0,14.0,24.0,80.0
2025-06-18--18h-58m-49s,19.0,17.0,24.0,20.0,80.0
2025-06-18--18h-58m-49s,15.0,22.0,21.0,22.0,80.0
2025-06-18--18h-58m-49s,23.0,20.0,15.0,22.0,80.0
2025-06-18--18h-58m-49s,19.0,26.0,15.0,20.0,80.0
2025-06-18--18h-58m-49s,17.0,24.0,23.0,16.0,80.0
2025-06-18--18h-58m-49s,28.0,17.0,16.0,19.0,80.0
2025-06-18--18h-58m-49s,21.0,16.0,27.0,16.0,80.0
2025-06-18--18h-58m-49s,18.0,23.0,17.0,22.0,80.0
2025-06-18--18h-58m-49s,19.0,23.0,18.0,20.0,80.0
2025-06-18--18h-58m-49s,21.0,22.0,22.0,15.0,80.0
2025-06-18--18h-58m-49s,20.0,17.0,22.0,21.0,80.0
2025-06-18--18h-58m-49s,25.0,26.0,9.0,20.0,80.0
2025-06-18--18h-58m-49s,25.0,18.0,21.0,16.0,80.0
2025-06-18--18h-58m-49s,29.0,13.0,12.0,26.0,80.0
2025-06-18--18h-58m-49s,26.0,10.0,17.0,27.0,80.0
2025-06-18--18h-58m-49s,21.0,18.0,17.0,24.0,80.0
2025-06-18--18h-58m-49s,19.0,25.0,21.0,15.0,80.0
2025-06-18--18h-58m-49s,19.0,14.0,29.0,18.0,80.0
2025-06-18--18h-58m-49s,17.0,19.0,20.0,24.0,80.0
2025-06-18--18h-58m-49s,20.0,17.0,15.0,28.0,80.0
2025-06-18--18h-58m-49s,28.0,15.0,19.0,18.0,80.0
2025-06-18--18h-58m-49s,26.0,20.0,18.0,16.0,80.0
2025-06-18--18h-58m-49s,26.0,10.0,31.0,13.0,80.0
2025-06-18--18h-58m-49s,17.0,21.0,23.0,19.0,80.0
2025-06-18--18h-58m-49s,22.0,18.0,22.0,18.0,80.0
2025-06-18--18h-58m-49s,17.0,24.0,19.0,20.0,80.0
2025-06-18--18h-58m-49s,20.0,22.0,19.0,19.0,80.0
2025-06-18--18h-58m-49s,20.0,18.0,19.0,23.0,80.0
2025-06-18--18h-58m-49s,28.0,20.0,17.0,15.0,80.0
2025-06-18--18h-58m-49s,25.0,15.0,22.0,18.0,80.0
2025-06-18--18h-58m-49s,15.0,21.0,19.0,25.0,80.0
2025-06-18--18h-58m-49s,22.0,21.0,15.0,22.0,80.0
2025-06-18--18h-58m-49s,27.0,15.0,18.0,20.0,80.0
2025-06-18--18h-58m-49s,24.0,17.0,17.0,22.0,80.0
2025-06-18--18h-58m-49s,14.0,17.0,26.0,23.0,80.0
2025-06-18--18h-58m-49s,21.0,20.0,13.0,26.0,80.0
2025-06-18--18h-58m-49s,19.0,17.0,25.0,19.0,80.0
2025-06-18--18h-58m-49s,21.0,22.0,18.0,19.0,80.0
2025-06-18--18h-58m-49s,19.0,24.0,19.0,18.0,80.0
2025-06-18--18h-58m-49s,23.0,21.0,16.0,20.0,80.0
2025-06-18--18h-58m-49s,17.0,29.0,16.0,18.0,80.0
2025-06-18--18h-58m-49s,17.0,18.0,19.0,26.0,80.0
2025-06-18--18h-58m-49s,22.0,19.0,19.0,20.0,80.0
2025-06-18--18h-58m-49s,23.0,14.0,18.0,25.0,80.0
2025-06-18--18h-58m-49s,21.0,21.0,18.0,20.0,80.0
2025-06-18--18h-58m-49s,18.0,18.0,17.0,27.0,80.0
2025-06-18--18h-58m-49s,19.0,15.0,25.0,21.0,80.0
2025-06-18--18h-58m-49s,21.0,17.0,23.0,19.0,80.0
2025-06-18--18h-58m-49s,17.0,28.0,17.0,18.0,80.0
2025-06-18--18h-58m-49s,16.0,25.0,19.0,20.0,80.0
2025-06-18--18h-58m-49s,17.0,26.0,14.0,23.0,80.0
2025-06-18--18h-58m-49s,28.0,20.0,15.0,17.0,80.0
2025-06-18--18h-58m-49s,26.0,15.0,21.0,18.0,80.0
2025-06-18--18h-58m-49s,17.0,24.0,18.0,21.0,80.0
2025-06-18--18h-58m-49s,20.0,19.0,18.0,23.0,80.0
2025-06-18--18h-58m-49s,25.0,14.0,18.0,23.0,80.0
2025-06-18--18h-58m-49s,27.0,24.0,15.0,14.0,80.0
2025-06-18--18h-58m-49s,18.0,23.0,19.0,20.0,80.0
2025-06-18--18h-58m-49s,23.0,25.0,16.0,16.0,80.0
2025-06-18--18h-58m-49s,19.0,17.0,27.0,17.0,80.0
2025-06-18--18h-58m-49s,23.0,19.0,18.0,20.0,80.0
2025-06-18--18h-58m-49s,24.0,26.0,14.0,16.0,80.0
2025-06-18--18h-58m-49s,22.0,15.0,22.0,21.0,80.0
2025-06-18--18h-58m-49s,27.0,11.0,19.0,23.0,80.0
2025-06-18--18h-58m-49s,22.0,19.0,15.0,24.0,80.0
2025-06-18--18h-58m-49s,27.0,15.0,16.0,22.0,80.0
2025-06-18--18h-58m-49s,15.0,25.0,21.0,19.0,80.0
2025-06-18--18h-58m-49s,18.0,22.0,20.0,20.0,80.0
2025-06-18--18h-58m-49s,18.0,21.0,20.0,21.0,80.0
2025-06-18--18h-58m-49s,15.0,17.0,28.0,20.0,80.0
2025-06-18--18h-58m-49s,20.0,20.0,20.0,20.0,80.0
2025-06-18--18h-58m-49s,22.0,22.0,16.0,20.0,80.0
2025-06-18--18h-58m-49s,28.0,18.0,17.0,17.0,80.0
2025-06-18--18h-58m-49s,19.0,21.0,19.0,21.0,80.0
2025-06-18--18h-58m-49s,18.0,23.0,19.0,20.0,80.0
2025-06-18--18h-58m-49s,17.0,26.0,21.0,16.0,80.0
2025-06-18--18h-58m-49s,25.0,15.0,23.0,17.0,80.0
2025-06-18--18h-58m-49s,15.0,22.0,21.0,22.0,80.0
2025-06-18--18h-58m-49s,17.0,14.0,24.0,25.0,80.0
2025-06-18--18h-58m-49s,12.0,23.0,17.0,28.0,80.0
2025-06-18--18h-58m-49s,22.0,17.0,20.0,21.0,80.0
2025-06-18--18h-58m-49s,16.0,25.0,18.0,21.0,80.0
2025-06-18--18h-58m-49s,11.0,21.0,23.0,25.0,80.0
2025-06-18--18h-58m-49s,26.0,21.0,12.0,21.0,80.0
2025-06-18--18h-58m-49s,22.0,14.0,23.0,21.0,80.0
2025-06-18--18h-58m-49s,13.0,20.0,21.0,26.0,80.0
2025-06-18--18h-58m-49s,15.0,17.0,18.0,30.0,80.0
2025-06-18--18h-58m-49s,23.0,16.0,21.0,20.0,80.0
2025-06-18--18h-58m-49s,26.0,16.0,21.0,17.0,80.0
2025-06-18--18h-58m-49s,18.0,27.0,16.0,19.0,80.0
2025-06-18--18h-58m-49s,23.0,16.0,16.0,25.0,80.0
2025-06-18--18h-58m-49s,19.0,22.0,18.0,21.0,80.0
2025-06-18--18h-58m-49s,22.0,25.0,13.0,20.0,80.0
2025-06-18--18h-58m-49s,16.0,17.0,22.0,25.0,80.0
2025-06-18--18h-58m-49s,21.0,18.0,16.0,25.0,80.0
2025-06-18--18h-58m-49s,14.0,17.0,22.0,27.0,80.0
2025-06-18--18h-58m-49s,18.0,19.0,19.0,24.0,80.0
2025-06-18--18h-58m-49s,25.0,18.0,19.0,18.0,80.0
2025-06-18--18h-58m-49s,26.0,16.0,18.0,20.0,80.0
2025-06-18--18h-58m-49s,19.0,22.0,16.0,23.0,80.0
2025-06-18--18h-58m-49s,26.0,21.0,17.0,16.0,80.0
2025-06-18--18h-58m-49s,27.0,20.0,18.0,15.0,80.0
2025-06-18--18h-58m-49s,18.0,25.0,16.0,21.0,80.0
2025-06-18--18h-58m-49s,18.0,16.0,27.0,19.0,80.0
2025-06-18--18h-58m-49s,20.0,23.0,22.0,15.0,80.0
2025-06-18--18h-58m-49s,18.0,22.0,15.0,25.0,80.0
2025-06-18--18h-58m-49s,20.0,16.0,25.0,19.0,80.0
2025-06-18--18h-58m-49s,16.0,27.0,19.0,18.0,80.0
2025-06-18--18h-58m-49s,23.0,15.0,23.0,19.0,80.0
2025-06-18--18h-58m-49s,17.0,26.0,16.0,21.0,80.0
2025-06-18--18h-58m-49s,16.0,21.0,21.0,22.0,80.0
2025-06-18--18h-58m-49s,21.0,22.0,19.0,18.0,80.0
2025-06-18--18h-58m-49s,25.0,22.0,19.0,14.0,80.0
2025-06-18--18h-58m-49s,22.0,17.0,24.0,17.0,80.0
2025-06-18--18h-58m-49s,28.0,11.0,17.0,24.0,80.0
2025-06-18--18h-58m-49s,16.0,18.0,22.0,24.0,80.0
2025-06-18--18h-58m-49s,24.0,21.0,11.0,24.0,80.0
2025-06-18--18h-58m-49s,21.0,18.0,22.0,19.0,80.0
2025-06-18--18h-58m-49s,16.0,19.0,21.0,24.0,80.0
2025-06-18--18h-58m-49s,18.0,17.0,16.0,29.0,80.0
2025-06-18--18h-58m-49s,17.0,18.0,19.0,26.0,80.0
2025-06-18--18h-58m-49s,16.0,19.0,23.0,22.0,80.0
2025-06-18--18h-58m-49s,18.0,25.0,18.0,19.0,80.0
2025-06-18--18h-58m-49s,19.0,22.0,17.0,22.0,80.0
2025-06-18--18h-58m-49s,19.0,24.0,23.0,14.0,80.0
2025-06-18--18h-58m-49s,16.0,28.0,18.0,18.0,80.0
2025-06-18--18h-58m-49s,23.0,18.0,22.0,17.0,80.0
2025-06-18--18h-58m-49s,19.0,18.0,25.0,18.0,80.0
2025-06-18--18h-58m-49s,24.0,11.0,24.0,21.0,80.0
2025-06-18--18h-58m-49s,20.0,21.0,16.0,23.0,80.0
2025-06-18--18h-58m-49s,17.0,17.0,25.0,21.0,80.0
2025-06-18--18h-58m-49s,31.0,26.0,11.0,12.0,80.0
2025-06-18--18h-58m-49s,15.0,20.0,23.0,22.0,80.0
2025-06-18--18h-58m-49s,16.0,17.0,26.0,21.0,80.0
2025-06-18--18h-58m-49s,13.0,20.0,19.0,28.0,80.0
2025-06-18--18h-58m-49s,19.0,24.0,21.0,16.0,80.0
2025-06-18--18h-58m-49s,25.0,13.0,19.0,23.0,80.0
2025-06-18--18h-58m-49s,16.0,25.0,17.0,22.0,80.0
2025-06-18--18h-58m-49s,19.0,10.0,20.0,31.0,80.0
2025-06-18--18h-58m-49s,18.0,16.0,24.0,22.0,80.0
2025-06-18--18h-58m-49s,24.0,20.0,14.0,22.0,80.0
2025-06-18--18h-58m-49s,25.0,23.0,16.0,16.0,80.0
2025-06-18--18h-58m-49s,23.0,19.0,20.0,18.0,80.0
2025-06-18--18h-58m-49s,14.0,30.0,13.0,23.0,80.0
2025-06-18--18h-58m-49s,13.0,27.0,19.0,21.0,80.0
2025-06-18--18h-58m-49s,21.0,19.0,20.0,20.0,80.0
2025-06-18--18h-58m-49s,21.0,16.0,25.0,18.0,80.0
2025-06-18--18h-58m-49s,15.0,21.0,25.0,19.0,80.0
2025-06-18--18h-58m-49s,20.0,19.0,22.0,19.0,80.0
2025-06-18--18h-58m-49s,21.0,19.0,17.0,23.0,80.0
2025-06-18--18h-58m-49s,26.0,21.0,17.0,16.0,80.0
2025-06-18--18h-58m-49s,17.0,10.0,33.0,20.0,80.0
2025-06-18--18h-58m-49s,15.0,26.0,15.0,24.0,80.0
2025-06-18--18h-58m-49s,16.0,20.0,22.0,22.0,80.0
2025-06-18--18h-58m-49s,19.0,20.0,20.0,21.0,80.0
2025-06-18--18h-58m-49s,16.0,18.0,20.0,26.0,80.0
2025-06-18--18h-58m-49s,17.0,22.0,16.0,25.0,80.0
2025-06-18--18h-58m-49s,25.0,17.0,19.0,19.0,80.0
2025-06-18--18h-58m-49s,22.0,19.0,20.0,19.0,80.0
2025-06-18--18h-58m-49s,20.0,16.0,17.0,27.0,80.0
2025-06-18--18h-58m-49s,17.0,22.0,16.0,25.0,80.0
2025-06-18--18h-58m-49s,19.0,22.0,22.0,17.0,80.0
2025-06-18--18h-58m-49s,28.0,20.0,17.0,15.0,80.0
2025-06-18--18h-58m-49s,17.0,19.0,22.0,22.0,80.0
2025-06-18--18h-58m-49s,22.0,22.0,13.0,23.0,80.0
2025-06-18--18h-58m-49s,19.0,12.0,30.0,19.0,80.0
2025-06-18--18h-58m-49s,21.0,22.0,14.0,23.0,80.0
2025-06-18--18h-58m-49s,25.0,20.0,19.0,16.0,80.0
2025-06-18--18h-58m-49s,23.0,23.0,13.0,21.0,80.0
2025-06-18--18h-58m-49s,18.0,21.0,17.0,24.0,80.0
2025-06-18--18h-58m-49s,19.0,11.0,29.0,21.0,80.0
2025-06-18--18h-58m-49s,23.0,20.0,14.0,23.0,80.0
2025-06-18--18h-58m-49s,20.0,26.0,19.0,15.0,80.0
2025-06-18--18h-58m-49s,19.0,26.0,16.0,19.0,80.0
2025-06-18--18h-58m-49s,16.0,18.0,20.0,26.0,80.0
2025-06-18--18h-58m-49s,15.0,23.0,21.0,21.0,80.0
2025-06-18--18h-58m-49s,16.0,27.0,15.0,22.0,80.0
2025-06-18--18h-58m-49s,18.0,24.0,17.0,21.0,80.0
2025-06-18--18h-58m-49s,25.0,21.0,15.0,19.0,80.0
2025-06-18--18h-58m-49s,22.0,23.0,16.0,19.0,80.0
2025-06-18--18h-58m-49s,19.0,22.0,21.0,18.0,80.0
2025-06-18--18h-58m-49s,29.0,13.0,10.0,28.0,80.0
2025-06-18--18h-58m-49s,23.0,21.0,15.0,21.0,80.0
2025-06-18--18h-58m-49s,15.0,18.0,27.0,20.0,80.0
2025-06-18--18h-58m-49s,18.0,29.0,14.0,19.0,80.0
2025-06-18--18h-58m-49s,21.0,16.0,17.0,26.0,80.0
2025-06-18--18h-58m-49s,20.0,24.0,16.0,20.0,80.0
2025-06-18--18h-58m-49s,19.0,17.0,22.0,22.0,80.0
2025-06-18--18h-58m-49s,20.0,17.0,29.0,14.0,80.0
2025-06-18--18h-58m-49s,15.0,22.0,22.0,21.0,80.0
2025-06-18--18h-58m-49s,25.0,15.0,20.0,20.0,80.0
2025-06-18--18h-58m-49s,26.0,18.0,16.0,20.0,80.0
2025-06-18--18h-58m-49s,17.0,26.0,21.0,16.0,80.0
2025-06-18--18h-58m-49s,21.0,26.0,18.0,15.0,80.0
2025-06-18--18h-58m-49s,18.0,22.0,14.0,26.0,80.0
2025-06-18--18h-58m-49s,22.0,22.0,17.0,19.0,80.0
2025-06-18--18h-58m-49s,20.0,15.0,21.0,24.0,80.0
2025-06-18--18h-58m-49s,20.0,15.0,22.0,23.0,80.0
2025-06-18--18h-58m-49s,20.0,15.0,28.0,17.0,80.0
2025-06-18--18h-58m-49s,25.0,12.0,16.0,27.0,80.0
2025-06-18--18h-58m-49s,17.0,24.0,16.0,23.0,80.0
2025-06-18--18h-58m-49s,22.0,20.0,17.0,21.0,80.0
2025-06-18--18h-58m-49s,18.0,12.0,16.0,34.0,80.0
2025-06-18--18h-58m-49s,23.0,23.0,16.0,18.0,80.0
2025-06-18--18h-58m-49s,17.0,18.0,20.0,25.0,80.0
2025-06-18--18h-58m-49s,21.0,19.0,17.0,23.0,80.0
2025-06-18--18h-58m-49s,19.0,19.0,15.0,27.0,80.0
2025-06-18--18h-58m-49s,24.0,24.0,15.0,17.0,80.0
2025-06-18--18h-58m-49s,15.0,21.0,19.0,25.0,80.0
2025-06-18--18h-58m-49s,19.0,14.0,20.0,27.0,80.0
2025-06-18--18h-58m-49s,23.0,19.0,21.0,17.0,80.0
2025-06-18--18h-58m-49s,15.0,22.0,19.0,24.0,80.0
2025-06-18--18h-58m-49s,20.0,17.0,23.0,20.0,80.0
2025-06-18--18h-58m-49s,22.0,19.0,16.0,23.0,80.0
2025-06-18--18h-58m-49s,27.0,20.0,21.0,12.0,80.0
2025-06-18--18h-58m-49s,25.0,23.0,16.0,16.0,80.0
2025-06-18--18h-58m-49s,21.0,20.0,20.0,19.0,80.0
2025-06-18--18h-58m-49s,17.0,21.0,25.0,17.0,80.0
2025-06-18--18h-58m-49s,18.0,15.0,21.0,26.0,80.0
2025-06-18--18h-58m-49s,17.0,17.0,19.0,27.0,80.0
2025-06-18--18h-58m-49s,27.0,18.0,19.0,16.0,80.0
2025-06-18--18h-58m-49s,17.0,26.0,16.0,21.0,80.0
2025-06-18--18h-58m-49s,22.0,22.0,18.0,18.0,80.0
2025-06-18--18h-58m-49s,28.0,23.0,14.0,15.0,80.0
2025-06-18--18h-58m-49s,18.0,16.0,23.0,23.0,80.0
2025-06-18--18h-58m-49s,25.0,15.0,18.0,22.0,80.0
2025-06-18--18h-58m-49s,16.0,21.0,20.0,23.0,80.0
2025-06-18--18h-58m-49s,17.0,24.0,20.0,19.0,80.0
2025-06-18--18h-58m-49s,24.0,16.0,20.0,20.0,80.0
2025-06-18--18h-58m-49s,22.0,20.0,20.0,18.0,80.0
2025-06-18--18h-58m-49s,18.0,22.0,16.0,24.0,80.0
2025-06-18--18h-58m-49s,26.0,12.0,19.0,23.0,80.0
2025-06-18--18h-58m-49s,25.0,17.0,20.0,18.0,80.0
2025-06-18--18h-58m-49s,23.0,18.0,23.0,16.0,80.0
2025-06-18--18h-58m-49s,20.0,18.0,15.0,27.0,80.0
2025-06-18--18h-58m-49s,19.0,18.0,21.0,22.0,80.0
2025-06-18--18h-58m-49s,23.0,15.0,23.0,19.0,80.0
2025-06-18--18h-58m-49s,20.0,16.0,16.0,28.0,80.0
2025-06-18--18h-58m-49s,21.0,13.0,19.0,27.0,80.0
2025-06-18--18h-58m-49s,18.0,13.0,23.0,26.0,80.0
2025-06-18--18h-58m-49s,32.0,11.0,24.0,13.0,80.0
2025-06-18--18h-58m-49s,20.0,23.0,18.0,19.0,80.0
2025-06-18--18h-58m-49s,25.0,15.0,20.0,20.0,80.0
2025-06-18--18h-58m-49s,18.0,21.0,17.0,24.0,80.0
2025-06-18--18h-58m-49s,18.0,18.0,21.0,23.0,80.0
2025-06-18--18h-58m-49s,16.0,17.0,24.0,23.0,80.0
2025-06-18--18h-58m-49s,12.0,19.0,27.0,22.0,80.0
2025-06-18--18h-58m-49s,32.0,21.0,15.0,12.0,80.0
2025-06-18--18h-58m-49s,21.0,26.0,17.0,16.0,80.0
2025-06-18--18h-58m-49s,25.0,20.0,12.0,23.0,80.0
2025-06-18--18h-58m-49s,25.0,14.0,19.0,22.0,80.0
