data_dir,C,SB,DB_V,DB_H,N
2025-06-18--18h-30m-34s,55.0,15.0,1.0,49.0,120.0
2025-06-18--18h-30m-34s,62.0,7.0,2.0,49.0,120.0
2025-06-18--18h-30m-34s,54.0,10.0,4.0,52.0,120.0
2025-06-18--18h-30m-34s,65.0,12.0,0.0,43.0,120.0
2025-06-18--18h-30m-34s,61.0,20.0,1.0,38.0,120.0
2025-06-18--18h-30m-34s,53.0,17.0,1.0,49.0,120.0
2025-06-18--18h-30m-34s,58.0,19.0,3.0,40.0,120.0
2025-06-18--18h-30m-34s,64.0,15.0,1.0,40.0,120.0
2025-06-18--18h-30m-34s,67.0,7.0,0.0,46.0,120.0
2025-06-18--18h-30m-34s,48.0,16.0,1.0,55.0,120.0
2025-06-18--18h-30m-34s,67.0,10.0,2.0,41.0,120.0
2025-06-18--18h-30m-34s,57.0,17.0,1.0,45.0,120.0
2025-06-18--18h-30m-34s,57.0,19.0,1.0,43.0,120.0
2025-06-18--18h-30m-34s,64.0,18.0,1.0,37.0,120.0
2025-06-18--18h-30m-34s,64.0,16.0,0.0,40.0,120.0
2025-06-18--18h-30m-34s,62.0,10.0,2.0,46.0,120.0
2025-06-18--18h-30m-34s,56.0,21.0,1.0,42.0,120.0
2025-06-18--18h-30m-34s,61.0,10.0,1.0,48.0,120.0
2025-06-18--18h-30m-34s,59.0,16.0,0.0,45.0,120.0
2025-06-18--18h-30m-34s,62.0,13.0,2.0,43.0,120.0
2025-06-18--18h-30m-34s,66.0,11.0,0.0,43.0,120.0
2025-06-18--18h-30m-34s,61.0,17.0,0.0,42.0,120.0
2025-06-18--18h-30m-34s,56.0,20.0,4.0,40.0,120.0
2025-06-18--18h-30m-34s,62.0,10.0,1.0,47.0,120.0
2025-06-18--18h-30m-34s,63.0,16.0,0.0,41.0,120.0
2025-06-18--18h-30m-34s,50.0,16.0,3.0,51.0,120.0
2025-06-18--18h-30m-34s,53.0,12.0,1.0,54.0,120.0
2025-06-18--18h-30m-34s,55.0,17.0,2.0,46.0,120.0
2025-06-18--18h-30m-34s,62.0,15.0,3.0,40.0,120.0
2025-06-18--18h-30m-34s,58.0,13.0,0.0,49.0,120.0
2025-06-18--18h-30m-34s,62.0,13.0,0.0,45.0,120.0
2025-06-18--18h-30m-34s,65.0,14.0,3.0,38.0,120.0
2025-06-18--18h-30m-34s,67.0,13.0,3.0,37.0,120.0
2025-06-18--18h-30m-34s,56.0,13.0,0.0,51.0,120.0
2025-06-18--18h-30m-34s,68.0,14.0,1.0,37.0,120.0
2025-06-18--18h-30m-34s,64.0,15.0,0.0,41.0,120.0
2025-06-18--18h-30m-34s,66.0,14.0,3.0,37.0,120.0
2025-06-18--18h-30m-34s,54.0,13.0,1.0,52.0,120.0
2025-06-18--18h-30m-34s,60.0,18.0,1.0,41.0,120.0
2025-06-18--18h-30m-34s,63.0,13.0,2.0,42.0,120.0
2025-06-18--18h-30m-34s,54.0,19.0,3.0,44.0,120.0
2025-06-18--18h-30m-34s,53.0,19.0,1.0,47.0,120.0
2025-06-18--18h-30m-34s,61.0,15.0,1.0,43.0,120.0
2025-06-18--18h-30m-34s,54.0,25.0,1.0,40.0,120.0
2025-06-18--18h-30m-34s,58.0,19.0,2.0,41.0,120.0
2025-06-18--18h-30m-34s,61.0,9.0,1.0,49.0,120.0
2025-06-18--18h-30m-34s,61.0,11.0,2.0,46.0,120.0
2025-06-18--18h-30m-34s,64.0,14.0,2.0,40.0,120.0
2025-06-18--18h-30m-34s,65.0,10.0,1.0,44.0,120.0
2025-06-18--18h-30m-34s,50.0,13.0,0.0,57.0,120.0
2025-06-18--18h-30m-34s,65.0,19.0,0.0,36.0,120.0
2025-06-18--18h-30m-34s,74.0,9.0,0.0,37.0,120.0
2025-06-18--18h-30m-34s,67.0,18.0,0.0,35.0,120.0
2025-06-18--18h-30m-34s,54.0,20.0,0.0,46.0,120.0
2025-06-18--18h-30m-34s,56.0,21.0,3.0,40.0,120.0
2025-06-18--18h-30m-34s,58.0,11.0,2.0,49.0,120.0
2025-06-18--18h-30m-34s,60.0,9.0,2.0,49.0,120.0
2025-06-18--18h-30m-34s,54.0,7.0,0.0,59.0,120.0
2025-06-18--18h-30m-34s,58.0,14.0,0.0,48.0,120.0
2025-06-18--18h-30m-34s,77.0,14.0,3.0,26.0,120.0
2025-06-18--18h-30m-34s,65.0,12.0,1.0,42.0,120.0
2025-06-18--18h-30m-34s,55.0,15.0,1.0,49.0,120.0
2025-06-18--18h-30m-34s,65.0,15.0,2.0,38.0,120.0
2025-06-18--18h-30m-34s,60.0,20.0,1.0,39.0,120.0
2025-06-18--18h-30m-34s,61.0,12.0,0.0,47.0,120.0
2025-06-18--18h-30m-34s,53.0,20.0,0.0,47.0,120.0
2025-06-18--18h-30m-34s,52.0,14.0,0.0,54.0,120.0
2025-06-18--18h-30m-34s,56.0,13.0,1.0,50.0,120.0
2025-06-18--18h-30m-34s,57.0,16.0,1.0,46.0,120.0
2025-06-18--18h-30m-34s,66.0,17.0,0.0,37.0,120.0
2025-06-18--18h-30m-34s,63.0,15.0,1.0,41.0,120.0
2025-06-18--18h-30m-34s,64.0,11.0,1.0,44.0,120.0
2025-06-18--18h-30m-34s,66.0,16.0,2.0,36.0,120.0
2025-06-18--18h-30m-34s,62.0,17.0,5.0,36.0,120.0
2025-06-18--18h-30m-34s,74.0,10.0,1.0,35.0,120.0
2025-06-18--18h-30m-34s,64.0,14.0,1.0,41.0,120.0
2025-06-18--18h-30m-34s,67.0,11.0,1.0,41.0,120.0
2025-06-18--18h-30m-34s,56.0,14.0,2.0,48.0,120.0
2025-06-18--18h-30m-34s,64.0,14.0,2.0,40.0,120.0
2025-06-18--18h-30m-34s,61.0,17.0,0.0,42.0,120.0
2025-06-18--18h-30m-34s,60.0,18.0,3.0,39.0,120.0
2025-06-18--18h-30m-34s,58.0,12.0,2.0,48.0,120.0
2025-06-18--18h-30m-34s,61.0,17.0,1.0,41.0,120.0
2025-06-18--18h-30m-34s,71.0,12.0,0.0,37.0,120.0
2025-06-18--18h-30m-34s,63.0,15.0,0.0,42.0,120.0
2025-06-18--18h-30m-34s,56.0,16.0,0.0,48.0,120.0
2025-06-18--18h-30m-34s,56.0,13.0,1.0,50.0,120.0
2025-06-18--18h-30m-34s,62.0,10.0,1.0,47.0,120.0
2025-06-18--18h-30m-34s,70.0,16.0,0.0,34.0,120.0
2025-06-18--18h-30m-34s,59.0,15.0,3.0,43.0,120.0
2025-06-18--18h-30m-34s,64.0,12.0,2.0,42.0,120.0
2025-06-18--18h-30m-34s,52.0,15.0,2.0,51.0,120.0
2025-06-18--18h-30m-34s,51.0,19.0,1.0,49.0,120.0
2025-06-18--18h-30m-34s,57.0,19.0,1.0,43.0,120.0
2025-06-18--18h-30m-34s,61.0,13.0,2.0,44.0,120.0
2025-06-18--18h-30m-34s,64.0,12.0,3.0,41.0,120.0
2025-06-18--18h-30m-34s,57.0,13.0,3.0,47.0,120.0
2025-06-18--18h-30m-34s,60.0,16.0,0.0,44.0,120.0
2025-06-18--18h-30m-34s,61.0,8.0,1.0,50.0,120.0
2025-06-18--18h-30m-34s,64.0,15.0,1.0,40.0,120.0
2025-06-18--18h-30m-34s,62.0,11.0,0.0,47.0,120.0
2025-06-18--18h-30m-34s,66.0,13.0,0.0,41.0,120.0
2025-06-18--18h-30m-34s,58.0,18.0,1.0,43.0,120.0
2025-06-18--18h-30m-34s,65.0,15.0,1.0,39.0,120.0
2025-06-18--18h-30m-34s,62.0,17.0,1.0,40.0,120.0
2025-06-18--18h-30m-34s,61.0,13.0,3.0,43.0,120.0
2025-06-18--18h-30m-34s,58.0,11.0,1.0,50.0,120.0
2025-06-18--18h-30m-34s,59.0,14.0,1.0,46.0,120.0
2025-06-18--18h-30m-34s,60.0,13.0,2.0,45.0,120.0
2025-06-18--18h-30m-34s,55.0,16.0,2.0,47.0,120.0
2025-06-18--18h-30m-34s,65.0,16.0,0.0,39.0,120.0
2025-06-18--18h-30m-34s,58.0,17.0,2.0,43.0,120.0
2025-06-18--18h-30m-34s,70.0,13.0,1.0,36.0,120.0
2025-06-18--18h-30m-34s,56.0,17.0,0.0,47.0,120.0
2025-06-18--18h-30m-34s,51.0,17.0,1.0,51.0,120.0
2025-06-18--18h-30m-34s,58.0,11.0,1.0,50.0,120.0
2025-06-18--18h-30m-34s,64.0,12.0,2.0,42.0,120.0
2025-06-18--18h-30m-34s,62.0,14.0,0.0,44.0,120.0
2025-06-18--18h-30m-34s,47.0,21.0,1.0,51.0,120.0
2025-06-18--18h-30m-34s,61.0,13.0,3.0,43.0,120.0
2025-06-18--18h-30m-34s,67.0,16.0,2.0,35.0,120.0
2025-06-18--18h-30m-34s,57.0,19.0,3.0,41.0,120.0
2025-06-18--18h-30m-34s,61.0,15.0,4.0,40.0,120.0
2025-06-18--18h-30m-34s,60.0,18.0,1.0,41.0,120.0
2025-06-18--18h-30m-34s,59.0,19.0,1.0,41.0,120.0
2025-06-18--18h-30m-34s,58.0,11.0,3.0,48.0,120.0
2025-06-18--18h-30m-34s,64.0,16.0,1.0,39.0,120.0
2025-06-18--18h-30m-34s,64.0,11.0,0.0,45.0,120.0
2025-06-18--18h-30m-34s,55.0,17.0,1.0,47.0,120.0
2025-06-18--18h-30m-34s,60.0,11.0,1.0,48.0,120.0
2025-06-18--18h-30m-34s,63.0,16.0,1.0,40.0,120.0
2025-06-18--18h-30m-34s,66.0,12.0,3.0,39.0,120.0
2025-06-18--18h-30m-34s,63.0,17.0,0.0,40.0,120.0
2025-06-18--18h-30m-34s,58.0,14.0,0.0,48.0,120.0
2025-06-18--18h-30m-34s,61.0,17.0,2.0,40.0,120.0
2025-06-18--18h-30m-34s,55.0,17.0,1.0,47.0,120.0
2025-06-18--18h-30m-34s,49.0,17.0,3.0,51.0,120.0
2025-06-18--18h-30m-34s,55.0,14.0,0.0,51.0,120.0
2025-06-18--18h-30m-34s,61.0,22.0,2.0,35.0,120.0
2025-06-18--18h-30m-34s,57.0,13.0,0.0,50.0,120.0
2025-06-18--18h-30m-34s,66.0,12.0,0.0,42.0,120.0
2025-06-18--18h-30m-34s,54.0,19.0,0.0,47.0,120.0
2025-06-18--18h-30m-34s,57.0,15.0,0.0,48.0,120.0
2025-06-18--18h-30m-34s,62.0,18.0,1.0,39.0,120.0
2025-06-18--18h-30m-34s,50.0,14.0,2.0,54.0,120.0
2025-06-18--18h-30m-34s,48.0,22.0,0.0,50.0,120.0
2025-06-18--18h-30m-34s,51.0,20.0,1.0,48.0,120.0
2025-06-18--18h-30m-34s,58.0,11.0,2.0,49.0,120.0
2025-06-18--18h-30m-34s,62.0,16.0,1.0,41.0,120.0
2025-06-18--18h-30m-34s,60.0,14.0,1.0,45.0,120.0
2025-06-18--18h-30m-34s,64.0,5.0,1.0,50.0,120.0
2025-06-18--18h-30m-34s,58.0,13.0,2.0,47.0,120.0
