data_dir,C',HH,SB,VV,N,theta_estimate,delta_phi_estimate,clipped_delta_phi_estimate
2025-07-07--14h-31m-04s,2.0,31.0,6.0,1.0,40.0,0.7227342478134156,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,3.0,31.0,5.0,1.0,40.0,0.7227342478134156,0.6547855203539177,0.6547855203539177
2025-07-07--14h-31m-04s,0.0,29.0,10.0,1.0,40.0,0.7953988301841436,,0.0
2025-07-07--14h-31m-04s,2.0,30.0,7.0,1.0,40.0,0.759761932507315,0.4797551786564516,0.4797551786564516
2025-07-07--14h-31m-04s,3.0,25.0,12.0,0.0,40.0,0.8956647938578649,0.4511321362421992,0.4511321362421992
2025-07-07--14h-31m-04s,0.0,32.0,8.0,0.0,40.0,0.6435011087932843,,0.0
2025-07-07--14h-31m-04s,4.0,29.0,7.0,0.0,40.0,0.759761932507315,0.6425930290654898,0.6425930290654898
2025-07-07--14h-31m-04s,1.0,31.0,8.0,0.0,40.0,0.6840812317953292,0.3188313086384554,0.3188313086384554
2025-07-07--14h-31m-04s,1.0,29.0,10.0,0.0,40.0,0.759761932507315,0.2819012538574933,0.2819012538574933
2025-07-07--14h-31m-04s,3.0,29.0,7.0,1.0,40.0,0.7953988301841436,0.5724028160489264,0.5724028160489264
2025-07-07--14h-31m-04s,1.0,27.0,11.0,1.0,40.0,0.863211890069541,0.26689830611784693,0.26689830611784693
2025-07-07--14h-31m-04s,4.0,24.0,11.0,1.0,40.0,0.9581921787462742,0.5338767402159962,0.5338767402159962
2025-07-07--14h-31m-04s,3.0,28.0,9.0,0.0,40.0,0.7953988301841436,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,2.0,30.0,7.0,1.0,40.0,0.759761932507315,0.4797551786564516,0.4797551786564516
2025-07-07--14h-31m-04s,2.0,33.0,5.0,0.0,40.0,0.6005941268660511,0.5560725794526592,0.5560725794526592
2025-07-07--14h-31m-04s,1.0,31.0,8.0,0.0,40.0,0.6840812317953292,0.3188313086384554,0.3188313086384554
2025-07-07--14h-31m-04s,2.0,26.0,12.0,0.0,40.0,0.863211890069541,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,0.0,27.0,12.0,1.0,40.0,0.863211890069541,,0.0
2025-07-07--14h-31m-04s,2.0,30.0,7.0,1.0,40.0,0.759761932507315,0.4797551786564516,0.4797551786564516
2025-07-07--14h-31m-04s,1.0,25.0,13.0,1.0,40.0,0.9272952180016122,0.24163715965295776,0.24163715965295776
2025-07-07--14h-31m-04s,0.0,30.0,10.0,0.0,40.0,0.7227342478134156,,0.0
2025-07-07--14h-31m-04s,1.0,33.0,6.0,0.0,40.0,0.6005941268660511,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,2.0,30.0,6.0,2.0,40.0,0.7953988301841436,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,3.0,26.0,10.0,1.0,40.0,0.8956647938578649,0.49045779404292944,0.49045779404292944
2025-07-07--14h-31m-04s,1.0,27.0,12.0,0.0,40.0,0.8298316245918765,0.25358158064826314,0.25358158064826314
2025-07-07--14h-31m-04s,0.0,31.0,9.0,0.0,40.0,0.6840812317953292,,0.0
2025-07-07--14h-31m-04s,1.0,29.0,9.0,1.0,40.0,0.7953988301841436,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,1.0,31.0,8.0,0.0,40.0,0.6840812317953292,0.3188313086384554,0.3188313086384554
2025-07-07--14h-31m-04s,1.0,32.0,6.0,1.0,40.0,0.6840812317953292,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,1.0,32.0,7.0,0.0,40.0,0.6435011087932843,0.3422040516914228,0.3422040516914228
2025-07-07--14h-31m-04s,1.0,27.0,10.0,2.0,40.0,0.8956647938578649,0.2819012538574933,0.2819012538574933
2025-07-07--14h-31m-04s,3.0,27.0,9.0,1.0,40.0,0.863211890069541,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,1.0,27.0,12.0,0.0,40.0,0.8298316245918765,0.25358158064826314,0.25358158064826314
2025-07-07--14h-31m-04s,0.0,27.0,12.0,1.0,40.0,0.863211890069541,,0.0
2025-07-07--14h-31m-04s,3.0,25.0,10.0,2.0,40.0,0.9581921787462742,0.49045779404292944,0.49045779404292944
2025-07-07--14h-31m-04s,1.0,33.0,6.0,0.0,40.0,0.6005941268660511,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,1.0,27.0,11.0,1.0,40.0,0.863211890069541,0.26689830611784693,0.26689830611784693
2025-07-07--14h-31m-04s,1.0,24.0,13.0,2.0,40.0,0.9884320889261531,0.24163715965295776,0.24163715965295776
2025-07-07--14h-31m-04s,4.0,29.0,7.0,0.0,40.0,0.759761932507315,0.6425930290654898,0.6425930290654898
2025-07-07--14h-31m-04s,0.0,33.0,7.0,0.0,40.0,0.6005941268660511,,0.0
2025-07-07--14h-31m-04s,0.0,30.0,9.0,1.0,40.0,0.759761932507315,,0.0
2025-07-07--14h-31m-04s,1.0,26.0,9.0,4.0,40.0,0.9884320889261531,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,1.0,30.0,9.0,0.0,40.0,0.7227342478134156,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,2.0,31.0,6.0,1.0,40.0,0.7227342478134156,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,1.0,28.0,11.0,0.0,40.0,0.7953988301841436,0.26689830611784693,0.26689830611784693
2025-07-07--14h-31m-04s,1.0,24.0,15.0,0.0,40.0,0.9272952180016122,0.22096768382295728,0.22096768382295728
2025-07-07--14h-31m-04s,1.0,29.0,10.0,0.0,40.0,0.759761932507315,0.2819012538574933,0.2819012538574933
2025-07-07--14h-31m-04s,3.0,28.0,8.0,1.0,40.0,0.8298316245918765,0.5409953315683538,0.5409953315683538
2025-07-07--14h-31m-04s,0.0,32.0,8.0,0.0,40.0,0.6435011087932843,,0.0
2025-07-07--14h-31m-04s,0.0,26.0,12.0,2.0,40.0,0.9272952180016122,,0.0
2025-07-07--14h-31m-04s,0.0,23.0,16.0,1.0,40.0,0.9884320889261531,,0.0
2025-07-07--14h-31m-04s,1.0,31.0,7.0,1.0,40.0,0.7227342478134156,0.3422040516914228,0.3422040516914228
2025-07-07--14h-31m-04s,2.0,26.0,12.0,0.0,40.0,0.863211890069541,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,1.0,30.0,9.0,0.0,40.0,0.7227342478134156,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,3.0,28.0,8.0,1.0,40.0,0.8298316245918765,0.5409953315683538,0.5409953315683538
2025-07-07--14h-31m-04s,2.0,30.0,7.0,1.0,40.0,0.759761932507315,0.4797551786564516,0.4797551786564516
2025-07-07--14h-31m-04s,1.0,32.0,7.0,0.0,40.0,0.6435011087932843,0.3422040516914228,0.3422040516914228
2025-07-07--14h-31m-04s,3.0,28.0,9.0,0.0,40.0,0.7953988301841436,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,1.0,24.0,14.0,1.0,40.0,0.9581921787462742,0.23082719937082688,0.23082719937082688
2025-07-07--14h-31m-04s,2.0,32.0,6.0,0.0,40.0,0.6435011087932843,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,0.0,34.0,5.0,1.0,40.0,0.6005941268660511,,0.0
2025-07-07--14h-31m-04s,1.0,33.0,5.0,1.0,40.0,0.6435011087932843,0.4055472869995539,0.4055472869995539
2025-07-07--14h-31m-04s,4.0,28.0,6.0,2.0,40.0,0.863211890069541,0.681342897638257,0.681342897638257
2025-07-07--14h-31m-04s,2.0,30.0,6.0,2.0,40.0,0.7953988301841436,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,1.0,30.0,9.0,0.0,40.0,0.7227342478134156,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,2.0,32.0,4.0,2.0,40.0,0.7227342478134156,0.6096235924329293,0.6096235924329293
2025-07-07--14h-31m-04s,1.0,27.0,11.0,1.0,40.0,0.863211890069541,0.26689830611784693,0.26689830611784693
2025-07-07--14h-31m-04s,2.0,30.0,7.0,1.0,40.0,0.759761932507315,0.4797551786564516,0.4797551786564516
2025-07-07--14h-31m-04s,2.0,31.0,7.0,0.0,40.0,0.6840812317953292,0.4797551786564516,0.4797551786564516
2025-07-07--14h-31m-04s,2.0,28.0,9.0,1.0,40.0,0.8298316245918765,0.42671627799704637,0.42671627799704637
2025-07-07--14h-31m-04s,2.0,30.0,8.0,0.0,40.0,0.7227342478134156,0.4511321362421992,0.4511321362421992
2025-07-07--14h-31m-04s,2.0,26.0,11.0,1.0,40.0,0.8956647938578649,0.3869474191522863,0.3869474191522863
2025-07-07--14h-31m-04s,1.0,29.0,10.0,0.0,40.0,0.759761932507315,0.2819012538574933,0.2819012538574933
2025-07-07--14h-31m-04s,3.0,24.0,12.0,1.0,40.0,0.9581921787462742,0.4511321362421992,0.4511321362421992
2025-07-07--14h-31m-04s,4.0,26.0,10.0,0.0,40.0,0.863211890069541,0.5560725794526592,0.5560725794526592
2025-07-07--14h-31m-04s,1.0,29.0,10.0,0.0,40.0,0.759761932507315,0.2819012538574933,0.2819012538574933
2025-07-07--14h-31m-04s,0.0,34.0,6.0,0.0,40.0,0.5548110329800715,,0.0
2025-07-07--14h-31m-04s,0.0,30.0,10.0,0.0,40.0,0.7227342478134156,,0.0
2025-07-07--14h-31m-04s,3.0,26.0,10.0,1.0,40.0,0.8956647938578649,0.49045779404292944,0.49045779404292944
2025-07-07--14h-31m-04s,2.0,28.0,10.0,0.0,40.0,0.7953988301841436,0.4055472869995539,0.4055472869995539
2025-07-07--14h-31m-04s,1.0,28.0,10.0,1.0,40.0,0.8298316245918765,0.2819012538574933,0.2819012538574933
2025-07-07--14h-31m-04s,3.0,26.0,11.0,0.0,40.0,0.863211890069541,0.46967130873754165,0.46967130873754165
2025-07-07--14h-31m-04s,2.0,27.0,10.0,1.0,40.0,0.863211890069541,0.4055472869995539,0.4055472869995539
2025-07-07--14h-31m-04s,1.0,29.0,8.0,2.0,40.0,0.8298316245918765,0.3188313086384554,0.3188313086384554
2025-07-07--14h-31m-04s,0.0,29.0,10.0,1.0,40.0,0.7953988301841436,,0.0
2025-07-07--14h-31m-04s,0.0,33.0,6.0,1.0,40.0,0.6435011087932843,,0.0
2025-07-07--14h-31m-04s,1.0,31.0,8.0,0.0,40.0,0.6840812317953292,0.3188313086384554,0.3188313086384554
2025-07-07--14h-31m-04s,1.0,30.0,8.0,1.0,40.0,0.759761932507315,0.3188313086384554,0.3188313086384554
2025-07-07--14h-31m-04s,3.0,27.0,10.0,0.0,40.0,0.8298316245918765,0.49045779404292944,0.49045779404292944
2025-07-07--14h-31m-04s,4.0,28.0,8.0,0.0,40.0,0.7953988301841436,0.6096235924329293,0.6096235924329293
2025-07-07--14h-31m-04s,1.0,29.0,9.0,1.0,40.0,0.7953988301841436,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,2.0,31.0,7.0,0.0,40.0,0.6840812317953292,0.4797551786564516,0.4797551786564516
2025-07-07--14h-31m-04s,2.0,28.0,10.0,0.0,40.0,0.7953988301841436,0.4055472869995539,0.4055472869995539
2025-07-07--14h-31m-04s,0.0,34.0,4.0,2.0,40.0,0.6435011087932843,,0.0
2025-07-07--14h-31m-04s,0.0,31.0,9.0,0.0,40.0,0.6840812317953292,,0.0
2025-07-07--14h-31m-04s,0.0,35.0,5.0,0.0,40.0,0.5053605102841573,,0.0
2025-07-07--14h-31m-04s,3.0,28.0,7.0,2.0,40.0,0.863211890069541,0.5724028160489264,0.5724028160489264
2025-07-07--14h-31m-04s,1.0,32.0,6.0,1.0,40.0,0.6840812317953292,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,3.0,28.0,9.0,0.0,40.0,0.7953988301841436,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,5.0,29.0,6.0,0.0,40.0,0.759761932507315,0.73837168662659,0.73837168662659
2025-07-07--14h-31m-04s,1.0,31.0,7.0,1.0,40.0,0.7227342478134156,0.3422040516914228,0.3422040516914228
2025-07-07--14h-31m-04s,0.0,33.0,7.0,0.0,40.0,0.6005941268660511,,0.0
2025-07-07--14h-31m-04s,2.0,31.0,7.0,0.0,40.0,0.6840812317953292,0.4797551786564516,0.4797551786564516
2025-07-07--14h-31m-04s,1.0,30.0,9.0,0.0,40.0,0.7227342478134156,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,0.0,31.0,7.0,2.0,40.0,0.759761932507315,,0.0
2025-07-07--14h-31m-04s,3.0,28.0,9.0,0.0,40.0,0.7953988301841436,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,1.0,29.0,7.0,3.0,40.0,0.863211890069541,0.3422040516914228,0.3422040516914228
2025-07-07--14h-31m-04s,2.0,29.0,8.0,1.0,40.0,0.7953988301841436,0.4511321362421992,0.4511321362421992
2025-07-07--14h-31m-04s,2.0,25.0,12.0,1.0,40.0,0.9272952180016122,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,3.0,27.0,8.0,2.0,40.0,0.8956647938578649,0.5409953315683538,0.5409953315683538
2025-07-07--14h-31m-04s,1.0,29.0,10.0,0.0,40.0,0.759761932507315,0.2819012538574933,0.2819012538574933
2025-07-07--14h-31m-04s,1.0,27.0,10.0,2.0,40.0,0.8956647938578649,0.2819012538574933,0.2819012538574933
2025-07-07--14h-31m-04s,1.0,26.0,9.0,4.0,40.0,0.9884320889261531,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,1.0,29.0,8.0,2.0,40.0,0.8298316245918765,0.3188313086384554,0.3188313086384554
2025-07-07--14h-31m-04s,3.0,28.0,8.0,1.0,40.0,0.8298316245918765,0.5409953315683538,0.5409953315683538
2025-07-07--14h-31m-04s,2.0,25.0,12.0,1.0,40.0,0.9272952180016122,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,1.0,31.0,8.0,0.0,40.0,0.6840812317953292,0.3188313086384554,0.3188313086384554
2025-07-07--14h-31m-04s,1.0,28.0,10.0,1.0,40.0,0.8298316245918765,0.2819012538574933,0.2819012538574933
2025-07-07--14h-31m-04s,2.0,24.0,13.0,1.0,40.0,0.9581921787462742,0.3556025829805332,0.3556025829805332
2025-07-07--14h-31m-04s,3.0,26.0,8.0,3.0,40.0,0.9581921787462742,0.5409953315683538,0.5409953315683538
2025-07-07--14h-31m-04s,2.0,30.0,7.0,1.0,40.0,0.759761932507315,0.4797551786564516,0.4797551786564516
2025-07-07--14h-31m-04s,2.0,28.0,10.0,0.0,40.0,0.7953988301841436,0.4055472869995539,0.4055472869995539
2025-07-07--14h-31m-04s,2.0,27.0,8.0,3.0,40.0,0.9272952180016122,0.4511321362421992,0.4511321362421992
2025-07-07--14h-31m-04s,1.0,33.0,6.0,0.0,40.0,0.6005941268660511,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,1.0,34.0,5.0,0.0,40.0,0.5548110329800715,0.4055472869995539,0.4055472869995539
2025-07-07--14h-31m-04s,0.0,29.0,11.0,0.0,40.0,0.759761932507315,,0.0
2025-07-07--14h-31m-04s,1.0,28.0,10.0,1.0,40.0,0.8298316245918765,0.2819012538574933,0.2819012538574933
2025-07-07--14h-31m-04s,0.0,29.0,9.0,2.0,40.0,0.8298316245918765,,0.0
2025-07-07--14h-31m-04s,2.0,29.0,9.0,0.0,40.0,0.759761932507315,0.42671627799704637,0.42671627799704637
2025-07-07--14h-31m-04s,0.0,32.0,7.0,1.0,40.0,0.6840812317953292,,0.0
2025-07-07--14h-31m-04s,1.0,30.0,8.0,1.0,40.0,0.759761932507315,0.3188313086384554,0.3188313086384554
2025-07-07--14h-31m-04s,0.0,32.0,8.0,0.0,40.0,0.6435011087932843,,0.0
2025-07-07--14h-31m-04s,0.0,30.0,10.0,0.0,40.0,0.7227342478134156,,0.0
2025-07-07--14h-31m-04s,2.0,24.0,12.0,2.0,40.0,0.9884320889261531,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,0.0,24.0,13.0,3.0,40.0,1.0180812136981134,,0.0
2025-07-07--14h-31m-04s,1.0,27.0,11.0,1.0,40.0,0.863211890069541,0.26689830611784693,0.26689830611784693
2025-07-07--14h-31m-04s,0.0,29.0,11.0,0.0,40.0,0.759761932507315,,0.0
2025-07-07--14h-31m-04s,1.0,30.0,9.0,0.0,40.0,0.7227342478134156,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,1.0,32.0,7.0,0.0,40.0,0.6435011087932843,0.3422040516914228,0.3422040516914228
2025-07-07--14h-31m-04s,1.0,33.0,6.0,0.0,40.0,0.6005941268660511,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,2.0,31.0,6.0,1.0,40.0,0.7227342478134156,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,3.0,29.0,7.0,1.0,40.0,0.7953988301841436,0.5724028160489264,0.5724028160489264
2025-07-07--14h-31m-04s,1.0,32.0,6.0,1.0,40.0,0.6840812317953292,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,0.0,31.0,9.0,0.0,40.0,0.6840812317953292,,0.0
2025-07-07--14h-31m-04s,2.0,31.0,7.0,0.0,40.0,0.6840812317953292,0.4797551786564516,0.4797551786564516
2025-07-07--14h-31m-04s,2.0,29.0,8.0,1.0,40.0,0.7953988301841436,0.4511321362421992,0.4511321362421992
2025-07-07--14h-31m-04s,0.0,30.0,9.0,1.0,40.0,0.759761932507315,,0.0
2025-07-07--14h-31m-04s,2.0,30.0,6.0,2.0,40.0,0.7953988301841436,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,2.0,27.0,9.0,2.0,40.0,0.8956647938578649,0.42671627799704637,0.42671627799704637
2025-07-07--14h-31m-04s,0.0,34.0,6.0,0.0,40.0,0.5548110329800715,,0.0
2025-07-07--14h-31m-04s,1.0,31.0,7.0,1.0,40.0,0.7227342478134156,0.3422040516914228,0.3422040516914228
2025-07-07--14h-31m-04s,1.0,27.0,12.0,0.0,40.0,0.8298316245918765,0.25358158064826314,0.25358158064826314
2025-07-07--14h-31m-04s,0.0,27.0,9.0,4.0,40.0,0.9581921787462742,,0.0
2025-07-07--14h-31m-04s,2.0,31.0,6.0,1.0,40.0,0.7227342478134156,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,0.0,22.0,16.0,2.0,40.0,1.0471975511965976,,0.0
2025-07-07--14h-31m-04s,1.0,29.0,9.0,1.0,40.0,0.7953988301841436,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,4.0,29.0,4.0,3.0,40.0,0.863211890069541,0.7853981633974483,0.7853981633974483
2025-07-07--14h-31m-04s,0.0,25.0,14.0,1.0,40.0,0.9272952180016122,,0.0
2025-07-07--14h-31m-04s,1.0,32.0,7.0,0.0,40.0,0.6435011087932843,0.3422040516914228,0.3422040516914228
2025-07-07--14h-31m-04s,0.0,31.0,9.0,0.0,40.0,0.6840812317953292,,0.0
2025-07-07--14h-31m-04s,0.0,35.0,5.0,0.0,40.0,0.5053605102841573,,0.0
2025-07-07--14h-31m-04s,0.0,34.0,6.0,0.0,40.0,0.5548110329800715,,0.0
2025-07-07--14h-31m-04s,2.0,27.0,9.0,2.0,40.0,0.8956647938578649,0.42671627799704637,0.42671627799704637
2025-07-07--14h-31m-04s,1.0,28.0,7.0,4.0,40.0,0.9272952180016122,0.3422040516914228,0.3422040516914228
2025-07-07--14h-31m-04s,3.0,25.0,12.0,0.0,40.0,0.8956647938578649,0.4511321362421992,0.4511321362421992
2025-07-07--14h-31m-04s,4.0,27.0,7.0,2.0,40.0,0.8956647938578649,0.6425930290654898,0.6425930290654898
2025-07-07--14h-31m-04s,1.0,28.0,10.0,1.0,40.0,0.8298316245918765,0.2819012538574933,0.2819012538574933
2025-07-07--14h-31m-04s,2.0,34.0,4.0,0.0,40.0,0.5548110329800715,0.6096235924329293,0.6096235924329293
2025-07-07--14h-31m-04s,0.0,36.0,4.0,0.0,40.0,0.45102681179626236,,0.0
2025-07-07--14h-31m-04s,4.0,29.0,7.0,0.0,40.0,0.759761932507315,0.6425930290654898,0.6425930290654898
2025-07-07--14h-31m-04s,1.0,25.0,13.0,1.0,40.0,0.9272952180016122,0.24163715965295776,0.24163715965295776
2025-07-07--14h-31m-04s,4.0,27.0,8.0,1.0,40.0,0.863211890069541,0.6096235924329293,0.6096235924329293
2025-07-07--14h-31m-04s,0.0,31.0,9.0,0.0,40.0,0.6840812317953292,,0.0
2025-07-07--14h-31m-04s,3.0,32.0,5.0,0.0,40.0,0.6435011087932843,0.6547855203539177,0.6547855203539177
2025-07-07--14h-31m-04s,0.0,29.0,8.0,3.0,40.0,0.863211890069541,,0.0
2025-07-07--14h-31m-04s,0.0,31.0,8.0,1.0,40.0,0.7227342478134156,,0.0
2025-07-07--14h-31m-04s,6.0,27.0,6.0,1.0,40.0,0.863211890069541,0.7853981633974483,0.7853981633974483
2025-07-07--14h-31m-04s,2.0,29.0,8.0,1.0,40.0,0.7953988301841436,0.4511321362421992,0.4511321362421992
2025-07-07--14h-31m-04s,0.0,28.0,12.0,0.0,40.0,0.7953988301841436,,0.0
2025-07-07--14h-31m-04s,1.0,30.0,6.0,3.0,40.0,0.8298316245918765,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,1.0,26.0,12.0,1.0,40.0,0.8956647938578649,0.25358158064826314,0.25358158064826314
2025-07-07--14h-31m-04s,2.0,28.0,10.0,0.0,40.0,0.7953988301841436,0.4055472869995539,0.4055472869995539
2025-07-07--14h-31m-04s,1.0,29.0,9.0,1.0,40.0,0.7953988301841436,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,3.0,31.0,4.0,2.0,40.0,0.759761932507315,0.7113378028600741,0.7113378028600741
2025-07-07--14h-31m-04s,1.0,31.0,8.0,0.0,40.0,0.6840812317953292,0.3188313086384554,0.3188313086384554
2025-07-07--14h-31m-04s,3.0,27.0,9.0,1.0,40.0,0.863211890069541,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,3.0,32.0,5.0,0.0,40.0,0.6435011087932843,0.6547855203539177,0.6547855203539177
2025-07-07--14h-31m-04s,1.0,32.0,7.0,0.0,40.0,0.6435011087932843,0.3422040516914228,0.3422040516914228
2025-07-07--14h-31m-04s,0.0,29.0,11.0,0.0,40.0,0.759761932507315,,0.0
2025-07-07--14h-31m-04s,1.0,30.0,9.0,0.0,40.0,0.7227342478134156,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,3.0,31.0,6.0,0.0,40.0,0.6840812317953292,0.6096235924329293,0.6096235924329293
2025-07-07--14h-31m-04s,0.0,31.0,9.0,0.0,40.0,0.6840812317953292,,0.0
2025-07-07--14h-31m-04s,3.0,28.0,8.0,1.0,40.0,0.8298316245918765,0.5409953315683538,0.5409953315683538
2025-07-07--14h-31m-04s,0.0,28.0,12.0,0.0,40.0,0.7953988301841436,,0.0
2025-07-07--14h-31m-04s,1.0,31.0,6.0,2.0,40.0,0.759761932507315,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,0.0,28.0,12.0,0.0,40.0,0.7953988301841436,,0.0
2025-07-07--14h-31m-04s,1.0,23.0,15.0,1.0,40.0,0.9884320889261531,0.22096768382295728,0.22096768382295728
2025-07-07--14h-31m-04s,1.0,27.0,12.0,0.0,40.0,0.8298316245918765,0.25358158064826314,0.25358158064826314
2025-07-07--14h-31m-04s,1.0,29.0,9.0,1.0,40.0,0.7953988301841436,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,2.0,26.0,11.0,1.0,40.0,0.8956647938578649,0.3869474191522863,0.3869474191522863
2025-07-07--14h-31m-04s,1.0,33.0,6.0,0.0,40.0,0.6005941268660511,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,1.0,27.0,11.0,1.0,40.0,0.863211890069541,0.26689830611784693,0.26689830611784693
2025-07-07--14h-31m-04s,1.0,28.0,10.0,1.0,40.0,0.8298316245918765,0.2819012538574933,0.2819012538574933
2025-07-07--14h-31m-04s,0.0,32.0,7.0,1.0,40.0,0.6840812317953292,,0.0
2025-07-07--14h-31m-04s,2.0,31.0,7.0,0.0,40.0,0.6840812317953292,0.4797551786564516,0.4797551786564516
2025-07-07--14h-31m-04s,0.0,29.0,11.0,0.0,40.0,0.759761932507315,,0.0
2025-07-07--14h-31m-04s,1.0,30.0,8.0,1.0,40.0,0.759761932507315,0.3188313086384554,0.3188313086384554
2025-07-07--14h-31m-04s,1.0,25.0,12.0,2.0,40.0,0.9581921787462742,0.25358158064826314,0.25358158064826314
2025-07-07--14h-31m-04s,0.0,31.0,9.0,0.0,40.0,0.6840812317953292,,0.0
2025-07-07--14h-31m-04s,2.0,27.0,9.0,2.0,40.0,0.8956647938578649,0.42671627799704637,0.42671627799704637
2025-07-07--14h-31m-04s,0.0,31.0,7.0,2.0,40.0,0.759761932507315,,0.0
2025-07-07--14h-31m-04s,1.0,34.0,4.0,1.0,40.0,0.6005941268660511,0.4511321362421992,0.4511321362421992
2025-07-07--14h-31m-04s,1.0,30.0,9.0,0.0,40.0,0.7227342478134156,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,4.0,21.0,15.0,0.0,40.0,1.0180812136981134,0.46484271118614623,0.46484271118614623
2025-07-07--14h-31m-04s,2.0,30.0,8.0,0.0,40.0,0.7227342478134156,0.4511321362421992,0.4511321362421992
2025-07-07--14h-31m-04s,2.0,30.0,8.0,0.0,40.0,0.7227342478134156,0.4511321362421992,0.4511321362421992
2025-07-07--14h-31m-04s,2.0,28.0,9.0,1.0,40.0,0.8298316245918765,0.42671627799704637,0.42671627799704637
2025-07-07--14h-31m-04s,4.0,29.0,7.0,0.0,40.0,0.759761932507315,0.6425930290654898,0.6425930290654898
2025-07-07--14h-31m-04s,1.0,23.0,16.0,0.0,40.0,0.9581921787462742,0.21191365186687078,0.21191365186687078
2025-07-07--14h-31m-04s,1.0,30.0,9.0,0.0,40.0,0.7227342478134156,0.2990150686917748,0.2990150686917748
2025-07-07--14h-31m-04s,1.0,33.0,6.0,0.0,40.0,0.6005941268660511,0.37042254200429753,0.37042254200429753
2025-07-07--14h-31m-04s,4.0,26.0,9.0,1.0,40.0,0.8956647938578649,0.5810954532008334,0.5810954532008334
2025-07-07--14h-31m-04s,2.0,25.0,13.0,0.0,40.0,0.8956647938578649,0.3556025829805332,0.3556025829805332
2025-07-07--14h-31m-04s,2.0,36.0,2.0,0.0,40.0,0.45102681179626236,0.7853981633974483,0.7853981633974483
2025-07-07--14h-31m-04s,1.0,30.0,8.0,1.0,40.0,0.759761932507315,0.3188313086384554,0.3188313086384554
2025-07-07--14h-31m-04s,2.0,36.0,1.0,1.0,40.0,0.5053605102841573,0.9611727343619674,0.9611727343619674
2025-07-07--14h-31m-04s,2.0,32.0,6.0,0.0,40.0,0.6435011087932843,0.5140020358960511,0.5140020358960511
2025-07-07--14h-31m-04s,0.0,27.0,12.0,1.0,40.0,0.863211890069541,,0.0
2025-07-07--14h-31m-04s,2.0,33.0,5.0,0.0,40.0,0.6005941268660511,0.5560725794526592,0.5560725794526592
2025-07-07--14h-31m-04s,0.0,37.0,3.0,0.0,40.0,0.3897607327974747,,0.0
2025-07-07--14h-31m-04s,2.0,30.0,8.0,0.0,40.0,0.7227342478134156,0.4511321362421992,0.4511321362421992
2025-07-07--14h-31m-04s,1.0,32.0,7.0,0.0,40.0,0.6435011087932843,0.3422040516914228,0.3422040516914228
2025-07-07--14h-31m-04s,0.0,32.0,8.0,0.0,40.0,0.6435011087932843,,0.0
