data_dir,C,SB,DB_V,DB_H,N
2025-07-08--10h-30m-07s,51.0,0.0,107.0,2.0,160.0
2025-07-08--10h-30m-07s,46.0,1.0,110.0,3.0,160.0
2025-07-08--10h-30m-07s,41.0,0.0,117.0,2.0,160.0
2025-07-08--10h-30m-07s,32.0,1.0,123.0,4.0,160.0
2025-07-08--10h-30m-07s,38.0,3.0,117.0,2.0,160.0
2025-07-08--10h-30m-07s,37.0,0.0,121.0,2.0,160.0
2025-07-08--10h-30m-07s,38.0,0.0,122.0,0.0,160.0
2025-07-08--10h-30m-07s,33.0,2.0,121.0,4.0,160.0
2025-07-08--10h-30m-07s,31.0,1.0,122.0,6.0,160.0
2025-07-08--10h-30m-07s,38.0,1.0,121.0,0.0,160.0
2025-07-08--10h-30m-07s,41.0,2.0,114.0,3.0,160.0
2025-07-08--10h-30m-07s,34.0,2.0,121.0,3.0,160.0
2025-07-08--10h-30m-07s,32.0,0.0,127.0,1.0,160.0
2025-07-08--10h-30m-07s,44.0,0.0,113.0,3.0,160.0
2025-07-08--10h-30m-07s,38.0,3.0,117.0,2.0,160.0
2025-07-08--10h-30m-07s,43.0,3.0,113.0,1.0,160.0
2025-07-08--10h-30m-07s,33.0,1.0,122.0,4.0,160.0
2025-07-08--10h-30m-07s,55.0,0.0,103.0,2.0,160.0
2025-07-08--10h-30m-07s,42.0,2.0,111.0,5.0,160.0
2025-07-08--10h-30m-07s,47.0,0.0,108.0,5.0,160.0
2025-07-08--10h-30m-07s,36.0,2.0,118.0,4.0,160.0
2025-07-08--10h-30m-07s,43.0,0.0,116.0,1.0,160.0
2025-07-08--10h-30m-07s,44.0,1.0,113.0,2.0,160.0
2025-07-08--10h-30m-07s,39.0,1.0,116.0,4.0,160.0
2025-07-08--10h-30m-07s,47.0,5.0,104.0,4.0,160.0
2025-07-08--10h-30m-07s,38.0,1.0,117.0,4.0,160.0
2025-07-08--10h-30m-07s,29.0,3.0,125.0,3.0,160.0
2025-07-08--10h-30m-07s,46.0,0.0,111.0,3.0,160.0
2025-07-08--10h-30m-07s,39.0,4.0,115.0,2.0,160.0
2025-07-08--10h-30m-07s,45.0,2.0,110.0,3.0,160.0
2025-07-08--10h-30m-07s,38.0,0.0,116.0,6.0,160.0
2025-07-08--10h-30m-07s,42.0,0.0,117.0,1.0,160.0
2025-07-08--10h-30m-07s,36.0,0.0,119.0,5.0,160.0
2025-07-08--10h-30m-07s,40.0,0.0,117.0,3.0,160.0
2025-07-08--10h-30m-07s,35.0,1.0,121.0,3.0,160.0
2025-07-08--10h-30m-07s,42.0,0.0,114.0,4.0,160.0
2025-07-08--10h-30m-07s,42.0,1.0,114.0,3.0,160.0
2025-07-08--10h-30m-07s,45.0,2.0,111.0,2.0,160.0
2025-07-08--10h-30m-07s,28.0,4.0,123.0,5.0,160.0
2025-07-08--10h-30m-07s,41.0,2.0,111.0,6.0,160.0
2025-07-08--10h-30m-07s,37.0,5.0,116.0,2.0,160.0
2025-07-08--10h-30m-07s,37.0,5.0,114.0,4.0,160.0
2025-07-08--10h-30m-07s,37.0,0.0,121.0,2.0,160.0
2025-07-08--10h-30m-07s,33.0,1.0,124.0,2.0,160.0
2025-07-08--10h-30m-07s,40.0,2.0,116.0,2.0,160.0
2025-07-08--10h-30m-07s,35.0,1.0,122.0,2.0,160.0
2025-07-08--10h-30m-07s,37.0,0.0,116.0,7.0,160.0
2025-07-08--10h-30m-07s,41.0,0.0,115.0,4.0,160.0
2025-07-08--10h-30m-07s,37.0,1.0,118.0,4.0,160.0
2025-07-08--10h-30m-07s,41.0,5.0,112.0,2.0,160.0
2025-07-08--10h-30m-07s,37.0,1.0,119.0,3.0,160.0
2025-07-08--10h-30m-07s,51.0,1.0,106.0,2.0,160.0
2025-07-08--10h-30m-07s,39.0,3.0,113.0,5.0,160.0
2025-07-08--10h-30m-07s,42.0,2.0,113.0,3.0,160.0
2025-07-08--10h-30m-07s,33.0,1.0,121.0,5.0,160.0
2025-07-08--10h-30m-07s,37.0,1.0,120.0,2.0,160.0
2025-07-08--10h-30m-07s,41.0,3.0,111.0,5.0,160.0
2025-07-08--10h-30m-07s,51.0,0.0,106.0,3.0,160.0
2025-07-08--10h-30m-07s,42.0,3.0,112.0,3.0,160.0
2025-07-08--10h-30m-07s,35.0,2.0,119.0,4.0,160.0
2025-07-08--10h-30m-07s,44.0,2.0,107.0,7.0,160.0
2025-07-08--10h-30m-07s,43.0,0.0,113.0,4.0,160.0
2025-07-08--10h-30m-07s,42.0,2.0,115.0,1.0,160.0
2025-07-08--10h-30m-07s,39.0,3.0,112.0,6.0,160.0
2025-07-08--10h-30m-07s,38.0,1.0,117.0,4.0,160.0
2025-07-08--10h-30m-07s,38.0,0.0,116.0,6.0,160.0
2025-07-08--10h-30m-07s,37.0,4.0,117.0,2.0,160.0
2025-07-08--10h-30m-07s,37.0,3.0,116.0,4.0,160.0
2025-07-08--10h-30m-07s,29.0,1.0,129.0,1.0,160.0
2025-07-08--10h-30m-07s,31.0,2.0,126.0,1.0,160.0
2025-07-08--10h-30m-07s,41.0,2.0,115.0,2.0,160.0
2025-07-08--10h-30m-07s,36.0,4.0,117.0,3.0,160.0
2025-07-08--10h-30m-07s,46.0,1.0,111.0,2.0,160.0
2025-07-08--10h-30m-07s,37.0,1.0,118.0,4.0,160.0
2025-07-08--10h-30m-07s,37.0,1.0,119.0,3.0,160.0
2025-07-08--10h-30m-07s,42.0,2.0,115.0,1.0,160.0
2025-07-08--10h-30m-07s,38.0,0.0,121.0,1.0,160.0
2025-07-08--10h-30m-07s,46.0,1.0,110.0,3.0,160.0
2025-07-08--10h-30m-07s,45.0,0.0,111.0,4.0,160.0
