data_dir,C,DB_H,DB_V,SB,N,repetition,theta_estimate,delta_phi_estimate
2025-05-30--18h-53m-42s,3.0,0.0,33.0,3.0,39.0,,2.579522850584166,0.7853981633974483
2025-05-30--18h-53m-42s,2.0,0.0,37.0,1.5,40.5,,2.7227991739984363,0.857071947850131
2025-05-30--18h-53m-42s,1.5,0.0,36.0,2.5,40.0,,2.6905658417935308,0.659058035826409
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.0,40.5,,2.7883954659177275,0.4636476090008061
2025-05-30--18h-53m-42s,1.5,0.0,36.0,1.5,39.0,,2.746801533890032,0.7853981633974483
2025-05-30--18h-53m-42s,0.5,0.0,39.0,0.5,40.0,,2.917517368287974,0.7853981633974483
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.0,39.0,,2.819951692240864,0.7853981633974483
2025-05-30--18h-53m-42s,0.0,0.0,37.0,2.5,39.5,,2.7839048853000614,0.0
2025-05-30--18h-53m-42s,0.0,0.0,40.0,1.0,41.0,,2.920278211242002,0.0
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.5,41.0,,2.756674767805899,0.4205343352839651
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.0,39.0,,2.914650554585266,0.0
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.5,39.5,,2.8651238718347276,0.0
2025-05-30--18h-53m-42s,0.5,0.0,39.0,0.5,40.0,,2.917517368287974,0.7853981633974483
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.0,39.0,,2.819951692240864,0.7853981633974483
2025-05-30--18h-53m-42s,1.0,0.0,38.0,1.5,40.5,,2.7883954659177275,0.684719203002283
2025-05-30--18h-53m-42s,0.0,0.0,38.0,2.0,40.0,,2.824032224298272,0.0
2025-05-30--18h-53m-42s,0.5,0.0,40.0,0.5,41.0,,2.920278211242002,0.7853981633974483
2025-05-30--18h-53m-42s,1.5,0.0,35.0,2.5,39.0,,2.6847186500571323,0.659058035826409
2025-05-30--18h-53m-42s,1.0,0.0,37.0,3.0,41.0,,2.6961940795983192,0.5235987755982988
2025-05-30--18h-53m-42s,1.0,0.0,38.0,1.0,40.0,,2.824032224298272,0.7853981633974483
2025-05-30--18h-53m-42s,0.5,0.0,39.0,0.5,40.0,,2.917517368287974,0.7853981633974483
2025-05-30--18h-53m-42s,1.0,0.0,34.0,4.5,39.5,,2.6075562163352224,0.4405106630046985
2025-05-30--18h-53m-42s,0.0,0.0,36.0,3.5,39.5,,2.7174512276764275,0.0
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.5,39.5,,2.8651238718347276,0.0
2025-05-30--18h-53m-42s,0.5,0.0,37.0,3.0,40.5,,2.7227991739984363,0.38759668665518066
2025-05-30--18h-53m-42s,0.0,0.0,39.0,2.0,41.0,,2.8279612829009917,0.0
2025-05-30--18h-53m-42s,0.5,0.0,37.0,1.5,39.0,,2.819951692240864,0.5235987755982988
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.5,41.0,,2.756674767805899,0.4205343352839651
2025-05-30--18h-53m-42s,1.0,1.0,36.0,2.5,40.5,,2.6143496253890777,0.5639426413606289
2025-05-30--18h-53m-42s,0.5,0.0,36.0,3.0,39.5,,2.7174512276764275,0.38759668665518066
2025-05-30--18h-53m-42s,0.0,0.0,39.0,0.5,39.5,,2.982312877833773,0.0
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.5,41.0,,2.756674767805899,0.4205343352839651
2025-05-30--18h-53m-42s,0.0,0.0,39.0,1.0,40.0,,2.917517368287974,0.0
2025-05-30--18h-53m-42s,1.0,0.0,38.0,0.5,39.5,,2.8651238718347276,0.9553166181245093
2025-05-30--18h-53m-42s,1.0,0.0,36.0,2.0,39.0,,2.746801533890032,0.6154797086703874
2025-05-30--18h-53m-42s,2.5,0.0,34.0,3.0,39.5,,2.6075562163352224,0.7398807743787408
2025-05-30--18h-53m-42s,1.5,0.0,36.0,2.0,39.5,,2.7174512276764275,0.7137243789447656
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.0,40.5,,2.7883954659177275,0.4636476090008061
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.5,41.0,,2.756674767805899,0.4205343352839651
2025-05-30--18h-53m-42s,0.5,0.0,36.0,2.5,39.0,,2.746801533890032,0.4205343352839651
2025-05-30--18h-53m-42s,1.0,0.0,36.0,3.0,40.0,,2.6905658417935308,0.5235987755982988
2025-05-30--18h-53m-42s,0.5,0.0,36.0,3.0,39.5,,2.7174512276764275,0.38759668665518066
2025-05-30--18h-53m-42s,1.0,0.0,38.0,1.5,40.5,,2.7883954659177275,0.684719203002283
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.5,39.5,,2.7839048853000614,0.684719203002283
2025-05-30--18h-53m-42s,0.5,0.0,37.0,1.5,39.0,,2.819951692240864,0.5235987755982988
2025-05-30--18h-53m-42s,2.0,0.0,37.0,2.0,41.0,,2.6961940795983192,0.7853981633974483
2025-05-30--18h-53m-42s,0.5,0.0,38.0,1.0,39.5,,2.8651238718347276,0.6154797086703874
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.5,41.0,,2.756674767805899,0.4205343352839651
2025-05-30--18h-53m-42s,1.5,0.0,37.0,0.5,39.0,,2.819951692240864,1.0471975511965976
2025-05-30--18h-53m-42s,0.5,0.0,36.0,3.5,40.0,,2.6905658417935308,0.3613671239067078
2025-05-30--18h-53m-42s,1.5,0.0,36.0,2.0,39.5,,2.7174512276764275,0.7137243789447656
2025-05-30--18h-53m-42s,0.0,0.0,38.0,3.0,41.0,,2.756674767805899,0.0
2025-05-30--18h-53m-42s,0.0,0.0,38.0,3.0,41.0,,2.756674767805899,0.0
2025-05-30--18h-53m-42s,1.5,0.0,37.0,1.0,39.5,,2.7839048853000614,0.8860771237926136
2025-05-30--18h-53m-42s,1.0,0.0,36.0,2.0,39.0,,2.746801533890032,0.6154797086703874
2025-05-30--18h-53m-42s,1.0,1.0,36.0,1.0,39.0,,2.6847186500571323,0.7853981633974483
2025-05-30--18h-53m-42s,1.0,0.0,37.0,2.5,40.5,,2.7227991739984363,0.5639426413606289
2025-05-30--18h-53m-42s,0.5,0.0,38.0,0.5,39.0,,2.914650554585266,0.7853981633974483
2025-05-30--18h-53m-42s,0.5,0.0,36.0,3.0,39.5,,2.7174512276764275,0.38759668665518066
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.0,40.5,,2.7883954659177275,0.4636476090008061
2025-05-30--18h-53m-42s,1.0,1.0,36.0,2.5,40.5,,2.6143496253890777,0.5639426413606289
2025-05-30--18h-53m-42s,0.0,0.0,39.0,1.5,40.5,,2.8685800312651826,0.0
2025-05-30--18h-53m-42s,0.5,0.0,36.0,2.5,39.0,,2.746801533890032,0.4205343352839651
2025-05-30--18h-53m-42s,0.5,0.0,34.0,4.5,39.0,,2.629650754605658,0.3217505543966422
2025-05-30--18h-53m-42s,0.5,0.0,38.0,1.5,40.0,,2.824032224298272,0.5235987755982988
2025-05-30--18h-53m-42s,1.0,0.0,38.0,0.5,39.5,,2.8651238718347276,0.9553166181245093
2025-05-30--18h-53m-42s,0.5,0.0,36.0,3.0,39.5,,2.7174512276764275,0.38759668665518066
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.5,39.5,,2.7839048853000614,0.684719203002283
2025-05-30--18h-53m-42s,0.0,0.0,38.0,2.5,40.5,,2.7883954659177275,0.0
2025-05-30--18h-53m-42s,1.0,0.0,38.0,2.0,41.0,,2.756674767805899,0.6154797086703874
2025-05-30--18h-53m-42s,1.0,0.0,37.0,2.5,40.5,,2.7227991739984363,0.5639426413606289
2025-05-30--18h-53m-42s,0.0,0.0,35.0,4.5,39.5,,2.6596063702655734,0.0
2025-05-30--18h-53m-42s,0.5,0.0,39.0,1.0,40.5,,2.8685800312651826,0.6154797086703874
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.5,39.5,,2.8651238718347276,0.0
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.0,40.5,,2.7883954659177275,0.4636476090008061
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.5,39.5,,2.7839048853000614,0.684719203002283
2025-05-30--18h-53m-42s,0.0,0.0,40.0,0.5,40.5,,2.984295701251545,0.0
2025-05-30--18h-53m-42s,0.5,0.0,37.0,3.0,40.5,,2.7227991739984363,0.38759668665518066
2025-05-30--18h-53m-42s,0.5,0.0,37.0,1.5,39.0,,2.819951692240864,0.5235987755982988
2025-05-30--18h-53m-42s,0.5,0.0,36.0,3.5,40.0,,2.6905658417935308,0.3613671239067078
2025-05-30--18h-53m-42s,1.0,0.0,37.0,3.0,41.0,,2.6961940795983192,0.5235987755982988
2025-05-30--18h-53m-42s,0.0,0.0,38.0,3.0,41.0,,2.756674767805899,0.0
2025-05-30--18h-53m-42s,0.5,0.0,37.0,1.5,39.0,,2.819951692240864,0.5235987755982988
2025-05-30--18h-53m-42s,0.0,0.0,36.0,4.0,40.0,,2.6905658417935308,0.0
2025-05-30--18h-53m-42s,1.5,0.0,35.0,2.5,39.0,,2.6847186500571323,0.659058035826409
2025-05-30--18h-53m-42s,0.5,0.0,38.0,1.5,40.0,,2.824032224298272,0.5235987755982988
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.0,39.0,,2.914650554585266,0.0
2025-05-30--18h-53m-42s,0.5,0.0,38.0,0.5,39.0,,2.914650554585266,0.7853981633974483
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.5,39.5,,2.7839048853000614,0.684719203002283
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.5,39.5,,2.8651238718347276,0.0
2025-05-30--18h-53m-42s,1.0,0.0,36.0,2.5,39.5,,2.7174512276764275,0.5639426413606289
2025-05-30--18h-53m-42s,1.0,0.0,39.0,0.0,40.0,,2.917517368287974,1.5707963267948966
2025-05-30--18h-53m-42s,0.5,0.0,37.0,2.0,39.5,,2.7839048853000614,0.4636476090008061
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.0,40.5,,2.7883954659177275,0.4636476090008061
2025-05-30--18h-53m-42s,0.5,0.0,39.0,1.5,41.0,,2.8279612829009917,0.5235987755982988
2025-05-30--18h-53m-42s,1.0,0.0,37.0,2.5,40.5,,2.7227991739984363,0.5639426413606289
2025-05-30--18h-53m-42s,0.5,0.0,37.0,2.5,40.0,,2.7518319207923185,0.4205343352839651
2025-05-30--18h-53m-42s,0.0,0.0,38.0,2.0,40.0,,2.824032224298272,0.0
2025-05-30--18h-53m-42s,1.5,0.0,35.0,4.0,40.5,,2.6143496253890777,0.5494672447576273
2025-05-30--18h-53m-42s,1.0,0.0,36.0,2.5,39.5,,2.7174512276764275,0.5639426413606289
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.0,39.0,,2.914650554585266,0.0
2025-05-30--18h-53m-42s,1.0,0.0,38.0,1.5,40.5,,2.7883954659177275,0.684719203002283
2025-05-30--18h-53m-42s,0.5,0.0,40.0,0.5,41.0,,2.920278211242002,0.7853981633974483
2025-05-30--18h-53m-42s,0.0,0.0,36.0,3.0,39.0,,2.746801533890032,0.0
2025-05-30--18h-53m-42s,1.0,0.0,37.0,2.0,40.0,,2.7518319207923185,0.6154797086703874
2025-05-30--18h-53m-42s,0.5,0.0,37.0,1.5,39.0,,2.819951692240864,0.5235987755982988
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.0,40.5,,2.7883954659177275,0.4636476090008061
2025-05-30--18h-53m-42s,0.5,0.0,37.0,2.0,39.5,,2.7839048853000614,0.4636476090008061
2025-05-30--18h-53m-42s,0.5,0.0,40.0,0.5,41.0,,2.920278211242002,0.7853981633974483
2025-05-30--18h-53m-42s,0.5,0.0,38.0,1.0,39.5,,2.8651238718347276,0.6154797086703874
2025-05-30--18h-53m-42s,0.0,0.0,37.0,2.5,39.5,,2.7839048853000614,0.0
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.5,39.5,,2.7839048853000614,0.684719203002283
2025-05-30--18h-53m-42s,0.5,0.0,37.0,2.0,39.5,,2.7839048853000614,0.4636476090008061
2025-05-30--18h-53m-42s,0.5,0.0,39.0,1.0,40.5,,2.8685800312651826,0.6154797086703874
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.0,39.0,,2.914650554585266,0.0
2025-05-30--18h-53m-42s,0.0,0.0,38.0,2.0,40.0,,2.824032224298272,0.0
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.0,40.5,,2.7883954659177275,0.4636476090008061
2025-05-30--18h-53m-42s,0.5,0.0,39.0,1.0,40.5,,2.8685800312651826,0.6154797086703874
2025-05-30--18h-53m-42s,1.0,0.0,36.0,3.0,40.0,,2.6905658417935308,0.5235987755982988
2025-05-30--18h-53m-42s,0.0,0.0,39.0,2.0,41.0,,2.8279612829009917,0.0
2025-05-30--18h-53m-42s,1.0,0.0,39.0,0.5,40.5,,2.8685800312651826,0.9553166181245093
2025-05-30--18h-53m-42s,1.0,0.0,38.0,2.0,41.0,,2.756674767805899,0.6154797086703874
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.5,39.5,,2.7839048853000614,0.684719203002283
2025-05-30--18h-53m-42s,1.0,0.0,36.0,2.5,39.5,,2.7174512276764275,0.5639426413606289
2025-05-30--18h-53m-42s,0.5,0.0,37.0,1.5,39.0,,2.819951692240864,0.5235987755982988
2025-05-30--18h-53m-42s,1.0,0.0,36.0,2.5,39.5,,2.7174512276764275,0.5639426413606289
2025-05-30--18h-53m-42s,1.0,0.0,38.0,0.5,39.5,,2.8651238718347276,0.9553166181245093
2025-05-30--18h-53m-42s,0.5,0.0,37.0,2.0,39.5,,2.7839048853000614,0.4636476090008061
2025-05-30--18h-53m-42s,0.0,0.0,38.0,2.5,40.5,,2.7883954659177275,0.0
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.5,39.5,,2.7839048853000614,0.684719203002283
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.5,39.5,,2.7839048853000614,0.684719203002283
2025-05-30--18h-53m-42s,0.0,0.0,37.0,2.0,39.0,,2.819951692240864,0.0
2025-05-30--18h-53m-42s,0.5,0.0,38.0,1.0,39.5,,2.8651238718347276,0.6154797086703874
2025-05-30--18h-53m-42s,0.0,0.0,37.0,3.5,40.5,,2.7227991739984363,0.0
2025-05-30--18h-53m-42s,1.5,0.0,38.0,0.5,40.0,,2.824032224298272,1.0471975511965976
2025-05-30--18h-53m-42s,1.0,0.0,36.0,2.5,39.5,,2.7174512276764275,0.5639426413606289
2025-05-30--18h-53m-42s,0.0,0.0,38.0,2.0,40.0,,2.824032224298272,0.0
2025-05-30--18h-53m-42s,0.5,0.0,37.0,1.5,39.0,,2.819951692240864,0.5235987755982988
2025-05-30--18h-53m-42s,0.0,0.0,36.0,4.0,40.0,,2.6905658417935308,0.0
2025-05-30--18h-53m-42s,1.0,0.0,36.0,2.0,39.0,,2.746801533890032,0.6154797086703874
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.5,41.0,,2.756674767805899,0.4205343352839651
2025-05-30--18h-53m-42s,1.0,0.0,38.0,0.5,39.5,,2.8651238718347276,0.9553166181245093
2025-05-30--18h-53m-42s,1.0,0.0,36.0,2.0,39.0,,2.746801533890032,0.6154797086703874
2025-05-30--18h-53m-42s,0.0,0.0,39.0,0.0,39.0,,3.141592653589793,
2025-05-30--18h-53m-42s,1.0,0.0,35.0,3.0,39.0,,2.6847186500571323,0.5235987755982988
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.5,39.5,,2.8651238718347276,0.0
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.0,40.5,,2.7883954659177275,0.4636476090008061
2025-05-30--18h-53m-42s,1.5,0.0,37.0,1.0,39.5,,2.7839048853000614,0.8860771237926136
2025-05-30--18h-53m-42s,0.0,0.0,36.0,3.0,39.0,,2.746801533890032,0.0
2025-05-30--18h-53m-42s,0.0,0.0,36.0,3.5,39.5,,2.7174512276764275,0.0
2025-05-30--18h-53m-42s,0.5,0.0,39.0,0.5,40.0,,2.917517368287974,0.7853981633974483
2025-05-30--18h-53m-42s,1.5,0.0,37.0,1.0,39.5,,2.7839048853000614,0.8860771237926136
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.0,39.0,,2.819951692240864,0.7853981633974483
2025-05-30--18h-53m-42s,0.0,0.0,37.0,2.0,39.0,,2.819951692240864,0.0
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.5,39.5,,2.8651238718347276,0.0
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.0,39.0,,2.914650554585266,0.0
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.5,39.5,,2.7839048853000614,0.684719203002283
2025-05-30--18h-53m-42s,0.0,0.0,37.0,3.0,40.0,,2.7518319207923185,0.0
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.5,41.0,,2.756674767805899,0.4205343352839651
2025-05-30--18h-53m-42s,1.0,0.0,34.0,5.5,40.5,,2.5671700538062927,0.4030570744661132
2025-05-30--18h-53m-42s,0.0,0.0,39.0,0.5,39.5,,2.982312877833773,0.0
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.5,39.5,,2.7839048853000614,0.684719203002283
2025-05-30--18h-53m-42s,2.0,0.0,38.0,1.0,41.0,,2.756674767805899,0.9553166181245093
2025-05-30--18h-53m-42s,1.0,0.0,38.0,1.5,40.5,,2.7883954659177275,0.684719203002283
2025-05-30--18h-53m-42s,0.0,0.0,38.0,2.5,40.5,,2.7883954659177275,0.0
2025-05-30--18h-53m-42s,0.0,0.0,40.0,0.0,40.0,,3.141592653589793,
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.0,39.0,,2.914650554585266,0.0
2025-05-30--18h-53m-42s,2.0,0.0,35.0,2.0,39.0,,2.6847186500571323,0.7853981633974483
2025-05-30--18h-53m-42s,0.5,0.0,35.0,3.5,39.0,,2.6847186500571323,0.3613671239067078
2025-05-30--18h-53m-42s,0.5,0.0,36.0,2.5,39.0,,2.746801533890032,0.4205343352839651
2025-05-30--18h-53m-42s,0.5,0.0,38.0,0.5,39.0,,2.914650554585266,0.7853981633974483
2025-05-30--18h-53m-42s,0.0,0.0,38.0,2.0,40.0,,2.824032224298272,0.0
2025-05-30--18h-53m-42s,0.5,0.0,37.0,1.5,39.0,,2.819951692240864,0.5235987755982988
2025-05-30--18h-53m-42s,1.0,0.0,37.0,2.5,40.5,,2.7227991739984363,0.5639426413606289
2025-05-30--18h-53m-42s,0.5,0.0,38.0,1.0,39.5,,2.8651238718347276,0.6154797086703874
2025-05-30--18h-53m-42s,0.5,0.0,36.0,2.5,39.0,,2.746801533890032,0.4205343352839651
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.5,39.5,,2.8651238718347276,0.0
2025-05-30--18h-53m-42s,0.0,0.0,37.0,2.5,39.5,,2.7839048853000614,0.0
2025-05-30--18h-53m-42s,0.0,0.0,40.0,1.0,41.0,,2.920278211242002,0.0
2025-05-30--18h-53m-42s,0.0,0.0,37.0,2.0,39.0,,2.819951692240864,0.0
2025-05-30--18h-53m-42s,0.0,0.0,38.0,2.0,40.0,,2.824032224298272,0.0
2025-05-30--18h-53m-42s,0.5,0.0,37.0,2.0,39.5,,2.7839048853000614,0.4636476090008061
2025-05-30--18h-53m-42s,1.0,0.0,38.0,1.5,40.5,,2.7883954659177275,0.684719203002283
2025-05-30--18h-53m-42s,1.0,0.0,36.0,3.0,40.0,,2.6905658417935308,0.5235987755982988
2025-05-30--18h-53m-42s,0.0,0.0,36.0,3.5,39.5,,2.7174512276764275,0.0
2025-05-30--18h-53m-42s,0.5,0.0,38.0,1.5,40.0,,2.824032224298272,0.5235987755982988
2025-05-30--18h-53m-42s,0.5,0.0,37.0,2.0,39.5,,2.7839048853000614,0.4636476090008061
2025-05-30--18h-53m-42s,0.5,0.0,37.0,1.5,39.0,,2.819951692240864,0.5235987755982988
2025-05-30--18h-53m-42s,0.5,1.0,33.0,4.5,39.0,,2.5331038914054336,0.3217505543966422
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.0,39.0,,2.819951692240864,0.7853981633974483
2025-05-30--18h-53m-42s,1.0,0.0,38.0,0.0,39.0,,2.914650554585266,1.5707963267948966
2025-05-30--18h-53m-42s,0.5,0.0,36.0,2.5,39.0,,2.746801533890032,0.4205343352839651
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.5,39.5,,2.7839048853000614,0.684719203002283
2025-05-30--18h-53m-42s,1.5,0.0,37.0,1.5,40.0,,2.7518319207923185,0.7853981633974483
2025-05-30--18h-53m-42s,0.5,0.0,38.0,2.0,40.5,,2.7883954659177275,0.4636476090008061
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.0,39.0,,2.819951692240864,0.7853981633974483
2025-05-30--18h-53m-42s,0.5,0.0,38.0,1.5,40.0,,2.824032224298272,0.5235987755982988
2025-05-30--18h-53m-42s,0.5,0.0,36.0,2.5,39.0,,2.746801533890032,0.4205343352839651
2025-05-30--18h-53m-42s,0.0,0.0,36.0,3.5,39.5,,2.7174512276764275,0.0
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.5,39.5,,2.8651238718347276,0.0
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.0,39.0,,2.914650554585266,0.0
2025-05-30--18h-53m-42s,1.5,0.0,39.0,0.5,41.0,,2.8279612829009917,1.0471975511965976
2025-05-30--18h-53m-42s,0.5,1.0,37.0,2.0,40.5,,2.6657104039293764,0.4636476090008061
2025-05-30--18h-53m-42s,0.5,0.0,37.0,1.5,39.0,,2.819951692240864,0.5235987755982988
2025-05-30--18h-53m-42s,1.0,0.0,36.0,2.5,39.5,,2.7174512276764275,0.5639426413606289
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.5,39.5,,2.8651238718347276,0.0
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.5,39.5,,2.7839048853000614,0.684719203002283
2025-05-30--18h-53m-42s,0.5,0.0,38.0,1.5,40.0,,2.824032224298272,0.5235987755982988
2025-05-30--18h-53m-42s,0.5,0.0,39.0,1.0,40.5,,2.8685800312651826,0.6154797086703874
2025-05-30--18h-53m-42s,0.0,0.0,36.0,3.0,39.0,,2.746801533890032,0.0
2025-05-30--18h-53m-42s,1.5,0.0,36.0,3.5,41.0,,2.642565973371566,0.5796397403637042
2025-05-30--18h-53m-42s,0.5,0.0,36.0,2.5,39.0,,2.746801533890032,0.4205343352839651
2025-05-30--18h-53m-42s,1.0,0.0,37.0,1.5,39.5,,2.7839048853000614,0.684719203002283
2025-05-30--18h-53m-42s,0.0,0.0,36.0,3.5,39.5,,2.7174512276764275,0.0
2025-05-30--18h-53m-42s,0.0,0.0,38.0,1.0,39.0,,2.914650554585266,0.0
2025-05-30--18h-53m-42s,1.5,0.0,37.0,1.5,40.0,,2.7518319207923185,0.7853981633974483
2025-05-30--18h-53m-42s,0.0,0.0,39.0,1.0,40.0,,2.917517368287974,0.0
2025-05-30--18h-53m-42s,0.0,0.0,39.0,1.5,40.5,,2.8685800312651826,0.0
2025-05-30--18h-53m-42s,0.5,0.0,37.0,2.0,39.5,,2.7839048853000614,0.4636476090008061
2025-05-30--18h-53m-42s,0.0,0.0,36.0,3.0,39.0,,2.746801533890032,0.0
2025-05-30--18h-53m-42s,1.5,0.0,39.0,0.5,41.0,,2.8279612829009917,1.0471975511965976
2025-05-30--18h-53m-42s,1.0,0.0,37.0,2.5,40.5,,2.7227991739984363,0.5639426413606289
2025-05-30--18h-53m-42s,0.5,0.0,38.0,1.0,39.5,,2.8651238718347276,0.6154797086703874
2025-05-30--18h-53m-42s,1.0,0.0,38.0,1.5,40.5,,2.7883954659177275,0.684719203002283
2025-05-30--18h-53m-42s,1.0,0.0,35.0,3.0,39.0,,2.6847186500571323,0.5235987755982988
2025-05-30--18h-53m-42s,0.5,0.0,34.0,5.0,39.5,,2.6075562163352224,0.30627736916966947
2025-05-30--18h-53m-42s,0.5,0.0,38.0,1.5,40.0,,2.824032224298272,0.5235987755982988
2025-05-30--18h-53m-42s,1.5,0.0,37.0,2.0,40.5,,2.7227991739984363,0.7137243789447656
2025-05-30--18h-53m-42s,1.0,0.0,39.0,0.5,40.5,,2.8685800312651826,0.9553166181245093
2025-05-30--18h-53m-42s,1.5,0.0,35.0,2.5,39.0,,2.6847186500571323,0.659058035826409
2025-05-30--18h-53m-42s,0.0,0.0,36.0,4.0,40.0,,2.6905658417935308,0.0
2025-05-30--18h-53m-42s,3.0,0.0,35.0,3.0,41.0,,2.593766092982985,0.7853981633974483
2025-05-30--18h-53m-42s,0.5,0.0,39.0,0.5,40.0,,2.917517368287974,0.7853981633974483
2025-05-30--18h-53m-42s,0.5,0.0,38.0,1.0,39.5,,2.8651238718347276,0.6154797086703874
